DISTRICT NAME,TOTAL NUMBER OF SCHOOLS,TOTAL STUDENTS,STAAR: % ALL SUBJECTS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MASTERS GRADE LEVEL STANDARD,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD,STAAR: % SCIENCE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD,STAAR: % SCIENCE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MASTERS GRADE LEVEL STANDARD,STAAR: % SOCIAL STUDIES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE, STAAR: % SOCIAL STUDIES AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SOCIAL STUDIES AT MASTERS GRADE LEVEL STANDARD, STAAR: % AFRICAN AMERICAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % AFRICAN AMERICAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % AFRICAN AMERICAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % HISPANIC AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % HISPANIC AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % HISPANIC AT MASTERS GRADE LEVEL STANDARD,STAAR: % WHITE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % WHITE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % WHITE AT MASTERS GRADE LEVEL STANDARD,STAAR: % AMERICAN INDIAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % AMERICAN INDIAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % AMERICAN INDIAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % ASIAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ASIAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ASIAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % PACIFIC ISLANDER AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % PACIFIC ISLANDER AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % PACIFIC ISLANDER AT MASTERS GRADE LEVEL STANDARD,STAAR: % TWO OR MORE RACES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % TWO OR MORE RACES AT MEETS GRADE LEVEL STANDARD OR ABOVE, STAAR: % TWO OR MORE RACES AT MASTERS GRADE LEVEL STANDARD,STAAR: % ECONOMICALLY DISADVANTAGED AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ECONOMICALLY DISADVANTAGED AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ECONOMICALLY DISADVANTAGED AT MASTERS GRADE LEVEL STANDARD
ALAMO HEIGHTS ISD,5,4788,86,64,35,88,72,40,85,85,58,30,85,59,29,85,63,41,77,48,17,77,49,23,94,76,44,100,89,26,92,69,44,100,83,25,92,81,56,67,35,13
HARLANDALE ISD,28,12078,65,33,12,66,38,14,66,62,26,9,66,33,10,71,38,18,54,25,12,65,33,12,68,42,13,-1,-1,-1,80,80,60,,,,63,25,19,63,31,11
EDGEWOOD ISD,24,8383,50,23,8,53,29,10,50,45,18,7,50,18,4,49,23,11,48,21,4,49,23,8,46,20,7,,,,73,53,32,42,33,25,44,19,4,49,23,8
RANDOLPH FIELD ISD,3,1458,93,67,34,93,74,37,96,90,58,28,96,69,33,92,65,43,91,60,24,90,61,30,97,77,45,100,44,22,96,56,33,100,100,33,91,65,30,89,59,21
SAN ANTONIO ISD,100,44568,58,29,11,59,35,13,58,54,22,9,58,27,9,64,35,16,49,24,8,58,29,11,69,47,24,44,11,3,63,39,21,67,44,17,81,35,15,55,27,10
SOUTH SAN ANTONIO ISD,20,7919,54,26,9,55,31,10,57,49,18,7,57,26,8,63,35,16,46,28,14,54,26,9,58,29,9,43,14,0,74,65,48,67,11,11,67,39,22,53,25,9
SOMERSET ISD,8,3955,77,48,21,74,50,21,80,79,47,24,80,48,17,73,44,20,82,61,29,76,47,21,79,56,31,-1,-1,-1,100,88,59,-1,-1,-1,97,62,14,75,45,20
NORTH EAST ISD,75,59445,79,55,29,80,60,30,81,77,47,23,81,57,29,81,61,42,65,37,16,76,49,23,89,71,42,78,48,18,93,79,54,66,40,16,86,65,38,72,46,22
EAST CENTRAL ISD,15,10002,59,29,10,61,34,11,57,54,21,7,57,25,6,66,40,19,53,26,9,57,28,9,67,38,15,67,36,15,64,35,15,87,33,20,72,43,16,54,24,9
SOUTHWEST ISD,18,13165,67,37,15,69,44,18,67,63,29,11,67,36,11,68,39,19,65,37,15,66,36,14,76,51,24,69,34,14,90,60,31,83,50,17,81,42,16,64,34,13
LACKLAND ISD,2,910,82,53,25,86,62,28,84,79,41,18,84,53,25,76,55,38,78,43,17,82,55,22,84,56,29,0,0,0,100,83,33,-1,-1,-1,82,45,24,78,46,15
FT SAM HOUSTON ISD,2,1635,86,62,31,89,70,36,92,81,49,22,92,69,32,82,61,39,81,55,22,83,57,25,89,65,37,83,50,17,94,79,45,94,67,33,87,64,29,81,51,22
NORTHSIDE ISD,122,101584,74,47,21,76,53,24,77,69,35,14,77,49,21,79,55,35,70,40,17,71,42,18,85,62,34,70,44,22,82,62,37,83,54,26,81,56,29,64,34,13
JUDSON ISD,32,24517,68,38,16,71,45,19,71,64,28,11,71,37,13,73,44,23,61,31,11,68,37,15,77,49,24,79,48,19,88,63,34,81,46,12,75,44,20,65,33,13
SOUTHSIDE ISD,9,5516,67,38,16,65,40,16,72,67,36,17,72,38,16,64,34,18,57,33,17,67,38,16,70,45,24,40,10,10,56,38,13,,,,93,66,31,65,36,15
JOHNSON CITY ISD,3,697,84,57,26,84,63,30,87,82,48,21,87,59,23,86,59,33,,,,75,49,22,87,60,28,,,,100,14,14,,,,88,75,25,72,42,20
BLANCO ISD,3,1058,79,52,24,79,55,27,80,79,45,17,80,54,24,75,56,32,52,24,10,70,40,15,86,61,31,-1,-1,-1,-1,-1,-1,,,,71,50,17,67,36,14
BORDEN COUNTY ISD,1,245,94,70,33,96,75,35,98,94,69,32,98,68,34,83,54,29,,,,85,50,16,96,74,37,-1,-1,-1,,,,,,,-1,-1,-1,90,52,16
CLIFTON ISD,3,1024,80,48,22,80,55,27,89,76,36,16,89,54,21,78,48,31,64,25,7,74,37,14,86,57,30,,,,64,57,36,-1,-1,-1,64,39,11,73,36,13
MERIDIAN ISD,2,392,65,33,14,74,42,19,69,57,23,9,69,38,11,55,30,13,,,,54,21,8,-1,-1,-1,,,,,,,,,,,,,61,26,10
MORGAN ISD,1,139,53,27,12,66,37,18,45,43,23,8,45,13,3,45,23,18,,,,57,31,12,54,26,14,-1,-1,-1,,,,,,,15,8,8,55,28,12
VALLEY MILLS ISD,3,618,76,48,20,77,53,23,73,77,44,18,73,40,17,77,51,24,44,22,0,70,39,12,79,51,24,,,,-1,-1,-1,,,,87,50,18,71,38,12
WALNUT SPRINGS ISD,1,178,61,34,13,61,34,12,54,59,35,12,54,17,0,73,48,33,-1,-1,-1,58,31,10,63,38,16,,,,-1,-1,-1,,,,100,80,40,60,33,13
IREDELL ISD,1,133,82,53,22,88,67,24,78,79,44,23,78,47,9,80,44,32,,,,76,47,16,84,54,23,,,,,,,,,,,,,77,46,20
KOPPERL ISD,1,179,58,33,14,74,46,20,52,43,18,6,52,34,9,59,38,28,20,0,0,55,30,10,61,36,15,,,,,,,,,,31,15,15,54,30,14
CRANFILLS GAP ISD,1,132,71,39,19,65,44,24,71,79,49,20,71,17,9,67,30,15,80,50,20,67,31,19,73,44,19,,,,,,,,,,-1,-1,-1,63,33,15
DEKALB ISD,3,783,74,45,21,69,45,21,80,82,47,21,80,45,18,63,41,24,60,28,10,71,37,16,82,56,28,71,29,14,-1,-1,-1,,,,60,29,9,72,40,17
HOOKS ISD,3,886,85,56,24,87,62,29,85,81,51,21,85,51,14,85,59,35,72,37,14,91,58,21,87,60,27,,,,-1,-1,-1,,,,82,50,19,81,47,19
MAUD ISD,1,474,86,56,29,87,63,36,90,85,47,21,90,63,29,81,51,25,-1,-1,-1,100,100,40,86,55,28,,,,-1,-1,-1,,,,,,,82,51,26
NEW BOSTON ISD,3,1196,72,43,19,71,46,19,78,67,36,15,78,47,22,78,47,27,61,31,10,72,37,17,75,48,22,89,67,22,-1,-1,-1,67,67,0,72,42,18,67,38,15
REDWATER ISD,4,1099,86,60,26,84,59,28,88,91,64,27,88,61,22,79,53,23,65,35,12,80,36,9,88,62,27,-1,-1,-1,100,67,44,100,100,57,77,48,27,82,54,22
TEXARKANA ISD,13,7126,70,42,19,70,47,21,73,67,34,15,73,42,18,74,46,27,54,24,8,75,43,17,87,64,35,89,66,45,93,76,49,,,,74,46,20,63,32,11
