"DistrictNumber",District,"CampusNumber",Campus,Region,County,"SchoolType","GradesServed","AlternativeEducationAccountability",Charter,"Number ofStudents","%EconomicallyDisadvantaged","% EB/ELStudents","OverallRating","OverallScore","StudentAchievementRating","StudentAchievementScore","SchoolProgressRating","SchoolProgressScore","AcademicGrowthRating","AcademicGrowthScore","RelativePerformanceRating","RelativePerformanceScore","Closingthe Gaps Rating","Closingthe Gaps Score","SupportLabel","PublicEducationGrant","DistinctionELA/Reading","DistinctionMathematics","DistinctionScience","DistinctionSoc Studies","DistinctionProgress","DistinctionClosing the Gaps","DistinctionPostsecondaryReadiness","US CongressDistrict","US CongressElection District","TX HouseDistrict","TX HouseElection District","TX SenateDistrict","TX SenateElection District","Campus EnrollmentType"
050902,GATESVILLE ISD,050902041,GATESVILLE J H,REGION 12: WACO,CORYELL,Middle School,07 - 08,No,No,411,61.6%,4.1%,B,81,C,79,B,83,B,80,B,83,C,76,Targeted Support,,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Not Earned,025,031,059,059,024,024,ZONED SCHOOL-TRANSFERS ACCEPTED
050902,GATESVILLE ISD,050902101,GATESVILLE EL,REGION 12: WACO,CORYELL,Elementary,01 - 03,No,No,605,61.8%,6.6%,B,89,B,88,B,88,Not Rated,        .,B,88,A,92,,,Earned,Not Earned,,,,Earned,Not Earned,025,031,059,059,024,024,ZONED SCHOOL-TRANSFERS ACCEPTED
050902,GATESVILLE ISD,050902102,GATESVILLE PRI,REGION 12: WACO,CORYELL,Elementary,EE - KG,No,No,260,64.2%,8.5%,B,89,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,025,031,059,059,024,024,ZONED SCHOOL-TRANSFERS ACCEPTED
050902,GATESVILLE ISD,050902103,GATESVILLE INT,REGION 12: WACO,CORYELL,Elementary,04 - 06,No,No,612,60.0%,4.7%,C,75,C,76,C,77,C,72,C,77,Not Rated: Senate Bill 1365,69,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,025,031,059,059,024,024,ZONED SCHOOL-TRANSFERS ACCEPTED
050904,OGLESBY ISD,,,REGION 12: WACO,CORYELL,District,,No,No,198,57.1%,5.1%,B,86,B,86,B,89,B,89,B,83,C,79,,,,,,,,,,,,,,,,
050904,OGLESBY ISD,050904001,OGLESBY SCHOOL,REGION 12: WACO,CORYELL,Elem/Secondary,PK - 12,No,No,198,57.1%,5.1%,B,86,B,86,B,89,B,89,B,83,C,79,,,Earned,Not Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,025,031,059,059,024,024,ZONED SCHOOL-TRANSFERS ACCEPTED
050909,JONESBORO ISD,,,REGION 12: WACO,CORYELL,District,,No,No,338,45.3%,0.0%,C,77,C,78,B,81,B,81,Not Rated: Senate Bill 1365,68,Not Rated: Senate Bill 1365,66,,,,,,,,,,,,,,,,
050909,JONESBORO ISD,050909001,JONESBORO SCHOOL,REGION 12: WACO,CORYELL,Elem/Secondary,PK - 12,No,No,338,45.3%,0.0%,C,77,C,78,B,81,B,81,Not Rated: Senate Bill 1365,68,Not Rated: Senate Bill 1365,66,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,025,031,059,059,024,022,ZONED SCHOOL-TRANSFERS ACCEPTED
050910,COPPERAS COVE ISD,,,REGION 12: WACO,CORYELL,District,,No,No,"8,102",63.2%,5.7%,B,87,B,85,A,90,C,76,A,90,B,80,,,,,,,,,Not Earned,,,,,,,
050910,COPPERAS COVE ISD,050910001,COPPERAS COVE H S,REGION 12: WACO,CORYELL,High School,09 - 12,No,No,"2,260",55.4%,4.5%,B,82,B,85,B,85,Not Rated: Senate Bill 1365,69,B,85,C,75,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,025,031,059,059,024,024,ZONED SCHOOL-TRANSFERS ACCEPTED
