"DistrictNumber",District,"CampusNumber",Campus,Region,County,"SchoolType","GradesServed","AlternativeEducationAccountability",Charter,"Number ofStudents","%EconomicallyDisadvantaged","% EB/ELStudents","OverallRating","OverallScore","StudentAchievementRating","StudentAchievementScore","SchoolProgressRating","SchoolProgressScore","AcademicGrowthRating","AcademicGrowthScore","RelativePerformanceRating","RelativePerformanceScore","Closingthe Gaps Rating","Closingthe Gaps Score","SupportLabel","PublicEducationGrant","DistinctionELA/Reading","DistinctionMathematics","DistinctionScience","DistinctionSoc Studies","DistinctionProgress","DistinctionClosing the Gaps","DistinctionPostsecondaryReadiness","US CongressDistrict","US CongressElection District","TX HouseDistrict","TX HouseElection District","TX SenateDistrict","TX SenateElection District","Campus EnrollmentType"
101912,HOUSTON ISD,101912116,BRIARGROVE EL,REGION 04: HOUSTON,HARRIS,Elementary,EE - 05,No,No,812,51.2%,29.7%,A,93,B,80,A,96,A,96,B,81,B,87,,,Earned,Not Earned,Not Earned,,Earned,Not Earned,Not Earned,007,038,133,133,017,017,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912117,BRISCOE EL,REGION 04: HOUSTON,HARRIS,Elementary,EE - 05,No,No,211,95.3%,50.7%,B,87,C,72,A,91,A,91,B,81,C,79,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,029,029,143,143,006,006,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912119,BROOKLINE EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,764,96.5%,66.6%,A,97,A,90,A,96,A,96,A,91,A,100,,,Earned,Earned,Earned,,Earned,Earned,Earned,029,009,145,145,006,006,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912120,BROWNING EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,406,92.4%,49.8%,B,89,C,71,A,93,A,93,C,79,C,79,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,029,029,148,145,006,006,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912121,BRUCE EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,348,98.3%,11.5%,B,84,Not Rated: Senate Bill 1365,59,B,89,A,91,Not Rated: Senate Bill 1365,66,C,72,,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,Not Earned,018,018,142,142,013,013,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912122,BURBANK EL,REGION 04: HOUSTON,HARRIS,Elementary,EE - 05,No,No,822,97.7%,49.5%,A,92,B,85,A,94,A,94,A,91,B,88,,,Not Earned,Not Earned,Earned,,Earned,Earned,Earned,029,029,148,145,006,006,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912123,CODWELL EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,337,94.4%,4.2%,B,85,Not Rated: Senate Bill 1365,59,B,89,A,93,Not Rated: Senate Bill 1365,66,C,75,,,Not Earned,Not Earned,Not Earned,,Earned,Not Earned,Not Earned,009,009,146,146,013,013,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912124,BURNET EL,REGION 04: HOUSTON,HARRIS,Elementary,KG - 05,No,No,404,90.8%,60.6%,B,89,C,71,A,93,A,93,C,79,B,80,,,Not Earned,Not Earned,Not Earned,,Earned,Not Earned,Not Earned,029,029,143,143,006,006,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912125,BURRUS EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,275,96.0%,8.0%,C,73,Not Rated: Senate Bill 1365,56,C,75,C,75,Not Rated: Senate Bill 1365,59,Not Rated: Senate Bill 1365,68,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,018,018,139,139,015,015,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912127,WOODSON SCHOOL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,578,97.9%,5.4%,Not Rated: Senate Bill 1365,68,Not Rated: Senate Bill 1365,58,C,70,C,70,Not Rated: Senate Bill 1365,63,Not Rated: Senate Bill 1365,64,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,009,009,146,146,013,013,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912128,LYONS EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,863,95.8%,48.7%,B,88,C,77,A,90,A,90,B,86,B,83,,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,Not Earned,029,029,148,140,006,006,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912130,CONDIT EL,REGION 04: HOUSTON,HARRIS,Elementary,EE - 05,No,No,728,36.5%,26.5%,A,92,A,92,A,92,A,92,B,89,A,92,,,Earned,Earned,Earned,,Earned,Not Earned,Earned,007,007,134,134,017,015,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912131,HALPIN EARLY CHILDHOOD CTR,REGION 04: HOUSTON,HARRIS,Elementary,PK - KG,No,No,411,99.3%,64.7%,C,76,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,009,009,146,146,013,013,SELECTIVE ENRL SCHL-SPCL PGM-BASED
101912,HOUSTON ISD,101912132,COOP EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,568,97.4%,50.9%,B,85,Not Rated: Senate Bill 1365,58,B,89,A,91,Not Rated: Senate Bill 1365,63,C,75,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,029,029,140,140,006,006,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912133,CORNELIUS EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,800,94.6%,49.3%,A,96,B,83,A,95,A,95,A,90,A,98,,,Not Earned,Not Earned,Earned,,Earned,Earned,Earned,009,009,147,147,006,006,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912135,CROCKETT EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,542,67.5%,28.4%,B,84,C,73,B,86,B,86,C,76,C,79,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,018,018,145,147,006,006,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912136,CUNNINGHAM EL,REGION 04: HOUSTON,HARRIS,Elementary,EE - 05,No,No,610,95.9%,69.2%,A,94,C,77,A,97,A,97,B,87,B,88,,,Earned,Earned,Not Earned,,Earned,Earned,Earned,007,007,137,137,013,015,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912137,DE CHAUMES EL,REGION 04: HOUSTON,HARRIS,Elementary,EE - 05,No,No,736,97.3%,56.8%,A,94,C,77,A,96,A,96,B,86,B,89,,,Not Earned,Earned,Not Earned,,Earned,Earned,Earned,029,029,140,140,006,006,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912138,DE ZAVALA EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,453,96.0%,48.1%,A,96,C,77,A,94,A,94,B,86,A,100,,,Earned,Not Earned,Not Earned,,Earned,Earned,Earned,029,029,143,143,006,006,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912140,DOGAN EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,493,97.8%,39.1%,B,84,Not Rated: Senate Bill 1365,57,B,89,B,89,Not Rated: Senate Bill 1365,60,C,73,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,018,018,142,142,013,013,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912144,DURKEE EL,REGION 04: HOUSTON,HARRIS,Elementary,KG - 05,No,No,466,96.6%,63.1%,B,88,Not Rated: Senate Bill 1365,69,A,92,A,92,C,76,C,77,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,029,029,140,140,006,006,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912147,ELIOT EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,524,94.3%,51.0%,A,95,C,77,A,93,A,93,B,87,A,98,,,Not Earned,Not Earned,Earned,,Not Earned,Earned,Earned,029,029,143,143,006,006,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912148,ELROD EL,REGION 04: HOUSTON,HARRIS,Elementary,EE - 05,No,No,696,98.3%,56.9%,A,93,C,75,A,96,A,96,B,85,B,87,,,Earned,Not Earned,Earned,,Earned,Earned,Earned,007,009,134,146,017,015,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912149,EMERSON EL,REGION 04: HOUSTON,HARRIS,Elementary,EE - 05,No,No,921,94.8%,67.6%,B,87,Not Rated: Senate Bill 1365,67,A,91,A,91,C,75,C,76,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,007,007,137,137,017,015,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912151,BELL EL,REGION 04: HOUSTON,HARRIS,Elementary,EE - 05,No,No,579,90.3%,56.1%,B,86,Not Rated: Senate Bill 1365,69,A,90,A,90,C,75,C,78,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Earned,009,009,131,131,013,013,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912152,FIELD EL,REGION 04: HOUSTON,HARRIS,Elementary,EE - 05,No,No,418,58.6%,13.6%,A,96,A,93,A,94,A,94,A,93,A,100,,,Earned,Earned,Earned,,Earned,Earned,Earned,018,018,148,145,015,015,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912153,FONDREN EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,302,95.4%,55.0%,B,88,Not Rated: Senate Bill 1365,67,A,92,A,92,C,75,C,78,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,009,009,131,131,013,013,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912154,FOSTER EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,391,98.2%,5.4%,A,94,B,80,A,92,A,92,A,90,A,100,,,Earned,Earned,Earned,,Not Earned,Earned,Earned,018,009,146,146,013,013,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912155,FRANKLIN EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,282,98.6%,60.6%,A,92,C,75,A,95,A,95,B,85,B,86,,,Not Earned,Earned,Not Earned,,Earned,Earned,Not Earned,029,029,143,143,006,006,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912156,FROST EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,527,98.5%,18.8%,C,72,Not Rated: Senate Bill 1365,52,C,74,C,74,Not Rated: Senate Bill 1365,54,Not Rated: Senate Bill 1365,66,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,009,009,131,131,013,013,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912157,GARDEN OAKS MONTESSORI,REGION 04: HOUSTON,HARRIS,Elementary,EE - 08,No,No,800,41.3%,23.9%,B,85,C,78,B,89,B,89,C,72,C,77,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,018,018,139,139,015,015,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912158,GARDEN VILLAS EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,419,89.5%,36.3%,B,86,Not Rated: Senate Bill 1365,64,A,91,A,91,C,70,C,74,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,029,009,147,147,006,006,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912159,GOLFCREST EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,451,97.6%,63.2%,C,78,Not Rated: Senate Bill 1365,58,B,80,B,80,Not Rated: Senate Bill 1365,63,C,74,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,029,009,145,145,006,006,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912162,GREGG EL,REGION 04: HOUSTON,HARRIS,Elementary,EE - 05,No,No,383,96.6%,51.7%,B,84,C,73,B,83,B,83,B,82,B,85,,,Not Earned,Not Earned,Not Earned,,Not Earned,Earned,Earned,009,009,147,147,006,006,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912163,SUGAR GROVE ACADEMY,REGION 04: HOUSTON,HARRIS,Middle School,06 - 08,No,No,759,98.9%,72.9%,B,83,Not Rated: Senate Bill 1365,55,B,85,B,85,Not Rated: Senate Bill 1365,60,C,79,Targeted Support,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,Not Earned,007,009,146,146,013,013,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912166,HARRIS J R EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,309,99.0%,60.5%,A,90,Not Rated: Senate Bill 1365,69,A,94,A,94,C,77,C,79,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,029,029,144,145,006,006,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912167,HARRIS R P EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,551,96.6%,64.6%,Not Rated: Senate Bill 1365,69,Not Rated: Senate Bill 1365,45,C,72,C,72,Not Rated: Senate Bill 1365,46,Not Rated: Senate Bill 1365,62,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,029,029,143,143,006,006,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912168,HARTSFIELD EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,301,98.3%,6.3%,B,87,Not Rated: Senate Bill 1365,60,A,92,A,92,Not Rated: Senate Bill 1365,69,C,75,,,Not Earned,Earned,Earned,,Not Earned,Not Earned,Earned,018,018,147,147,013,013,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912169,HARVARD EL,REGION 04: HOUSTON,HARRIS,Elementary,EE - 05,No,No,677,19.5%,4.4%,A,96,A,92,A,94,A,94,B,82,A,100,,,Earned,Earned,Not Earned,,Earned,Earned,Not Earned,018,018,148,145,015,015,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912170,HELMS EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,457,56.9%,40.7%,A,97,A,90,A,95,A,95,B,89,A,100,,,Not Earned,Earned,Earned,,Earned,Earned,Earned,002,018,148,145,015,015,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912171,HENDERSON J EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,612,99.2%,66.3%,A,91,C,77,A,92,A,92,B,86,B,87,,,Earned,Earned,Not Earned,,Not Earned,Earned,Earned,029,029,145,145,006,006,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912172,HENDERSON N EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,226,99.6%,9.3%,B,88,Not Rated: Senate Bill 1365,64,A,93,A,93,C,72,C,75,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,018,018,142,142,013,013,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912173,HEROD EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,766,54.8%,24.7%,B,88,B,82,A,91,A,91,B,83,B,81,,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,Not Earned,007,007,134,137,017,015,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912174,HIGHLAND HTS EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,469,98.5%,34.8%,Not Rated: Senate Bill 1365,63,Not Rated: Senate Bill 1365,54,Not Rated: Senate Bill 1365,62,Not Rated: Senate Bill 1365,62,Not Rated: Senate Bill 1365,56,Not Rated: Senate Bill 1365,64,Additional Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,018,018,139,139,015,015,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912175,HOBBY EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,569,88.9%,48.0%,B,82,Not Rated: Senate Bill 1365,54,B,85,B,85,Not Rated: Senate Bill 1365,55,C,74,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,009,009,131,131,013,013,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912178,HORN EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,752,17.8%,18.6%,A,97,A,96,A,96,A,96,A,92,A,100,,,Earned,Earned,Earned,,Earned,Earned,Earned,007,007,134,134,017,015,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912179,MCGOWEN EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,396,99.2%,21.7%,B,85,Not Rated: Senate Bill 1365,56,B,89,B,89,Not Rated: Senate Bill 1365,59,C,75,,,Not Earned,Not Earned,Not Earned,,Earned,Not Earned,Not Earned,018,018,142,142,013,013,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912180,ISAACS EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,275,97.1%,38.9%,B,85,Not Rated: Senate Bill 1365,52,B,89,B,89,Not Rated: Senate Bill 1365,54,C,74,,,Not Earned,Not Earned,Not Earned,,Earned,Not Earned,Not Earned,018,018,142,142,013,013,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912181,JANOWSKI EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,420,96.7%,67.9%,C,70,Not Rated: Senate Bill 1365,64,C,72,C,70,C,72,Not Rated: Senate Bill 1365,66,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,029,029,148,145,006,006,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912182,JEFFERSON EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,362,95.9%,30.1%,B,87,Not Rated: Senate Bill 1365,64,A,92,A,92,C,72,C,75,,,Not Earned,Not Earned,Not Earned,,Earned,Not Earned,Not Earned,029,029,148,145,006,006,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912185,KASHMERE GARDENS EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,445,98.9%,10.1%,B,84,Not Rated: Senate Bill 1365,51,B,89,B,89,Not Rated: Senate Bill 1365,53,C,72,,,Not Earned,Not Earned,Not Earned,,Earned,Not Earned,Not Earned,018,018,142,142,013,013,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912186,ROBINSON EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,547,97.6%,58.3%,B,87,Not Rated: Senate Bill 1365,64,A,91,A,91,C,72,C,76,Targeted Support,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,Not Earned,029,029,143,143,015,006,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912187,KELSO EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,406,97.3%,41.4%,B,84,Not Rated: Senate Bill 1365,54,B,89,B,89,Not Rated: Senate Bill 1365,56,C,73,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,018,009,147,147,013,013,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912188,KENNEDY EL,REGION 04: HOUSTON,HARRIS,Elementary,EE - 05,No,No,531,98.9%,57.8%,B,89,C,70,A,94,A,94,C,79,C,78,,,Earned,Not Earned,Not Earned,,Earned,Not Earned,Not Earned,018,029,139,139,015,015,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912189,KOLTER EL,REGION 04: HOUSTON,HARRIS,Elementary,EE - 05,No,No,737,28.2%,10.7%,A,96,A,94,A,92,A,92,A,91,A,100,,,Earned,Not Earned,Earned,,Earned,Earned,Earned,007,007,134,134,017,015,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912192,LANTRIP EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,530,85.5%,30.9%,A,95,C,78,A,96,A,96,B,86,A,92,,,Earned,Earned,Not Earned,,Earned,Earned,Earned,029,029,145,145,006,006,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912194,LEWIS EL,REGION 04: HOUSTON,HARRIS,Elementary,01 - 05,No,No,701,97.0%,70.8%,B,83,Not Rated: Senate Bill 1365,60,B,86,B,86,Not Rated: Senate Bill 1365,69,C,75,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,009,009,147,147,006,006,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912195,LOCKHART EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,403,89.3%,0.2%,B,87,Not Rated: Senate Bill 1365,64,A,91,A,91,C,70,C,76,,,Not Earned,Not Earned,Earned,,Earned,Not Earned,Not Earned,018,018,147,147,013,013,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912196,LONGFELLOW EL,REGION 04: HOUSTON,HARRIS,Elementary,EE - 05,No,No,671,76.0%,12.8%,B,89,Not Rated: Senate Bill 1365,65,A,94,A,94,Not Rated: Senate Bill 1365,69,C,78,,,Not Earned,Not Earned,Not Earned,,Earned,Not Earned,Not Earned,007,009,134,134,017,015,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912197,LOOSCAN EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,227,95.6%,43.2%,B,87,C,70,A,91,A,91,C,78,C,77,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,029,029,148,145,006,006,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912198,LOVE EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,325,75.7%,43.1%,A,96,C,77,A,94,A,94,B,84,A,100,,,Not Earned,Not Earned,Not Earned,,Earned,Earned,Earned,002,018,148,145,015,015,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912199,LOVETT EL,REGION 04: HOUSTON,HARRIS,Elementary,EE - 05,No,No,631,36.1%,14.9%,A,96,A,92,A,94,A,94,B,89,A,100,,,Not Earned,Earned,Not Earned,,Earned,Earned,Earned,007,007,134,134,017,015,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912201,MACGREGOR EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,475,79.8%,13.1%,B,89,C,77,A,93,A,93,B,84,B,81,,,Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Earned,018,018,147,147,013,013,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912203,MADING EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,374,98.1%,24.3%,B,85,Not Rated: Senate Bill 1365,59,B,89,A,91,Not Rated: Senate Bill 1365,66,C,74,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,009,009,147,147,013,013,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912204,MEMORIAL EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,368,54.9%,29.9%,A,94,A,90,A,92,A,92,B,88,A,100,,,Not Earned,Earned,Not Earned,,Earned,Earned,Earned,002,038,134,134,015,015,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912207,MONTGOMERY EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,456,97.4%,40.4%,B,87,Not Rated: Senate Bill 1365,67,A,90,A,90,C,75,C,79,,,Not Earned,Not Earned,Not Earned,,Not Earned,Earned,Not Earned,009,009,131,131,013,013,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912209,NEFF ECC,REGION 04: HOUSTON,HARRIS,Elementary,PK - 01,No,No,570,95.8%,79.3%,B,87,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,009,009,137,137,013,013,SELECTIVE ENRL SCHL-SPCL PGM-BASED
101912,HOUSTON ISD,101912210,NORTHLINE EL,REGION 04: HOUSTON,HARRIS,Elementary,EE - 05,No,No,417,97.1%,71.5%,B,81,Not Rated: Senate Bill 1365,62,B,85,B,85,C,70,C,72,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,029,029,140,140,006,006,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912211,OAK FOREST EL,REGION 04: HOUSTON,HARRIS,Elementary,KG - 05,No,No,861,16.8%,2.6%,A,96,A,93,A,94,A,94,B,85,A,100,,,Earned,Earned,Earned,,Earned,Earned,Earned,018,018,139,139,015,015,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912212,OATES EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,349,98.0%,49.9%,A,90,Not Rated: Senate Bill 1365,64,A,96,A,96,C,72,C,75,,,Not Earned,Not Earned,Not Earned,,Earned,Not Earned,Not Earned,018,029,143,142,015,015,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912213,OSBORNE EL,REGION 04: HOUSTON,HARRIS,Elementary,EE - 05,No,No,298,98.7%,30.9%,A,96,C,77,A,98,A,98,B,87,A,90,,,Earned,Earned,Earned,,Earned,Earned,Earned,018,018,139,139,015,015,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912214,PARK PLACE EL,REGION 04: HOUSTON,HARRIS,Elementary,PK - 05,No,No,797,92.0%,61.5%,B,89,C,75,A,92,A,92,B,84,B,82,,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,Not Earned,029,029,145,145,006,006,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912215,PARKER EL,REGION 04: HOUSTON,HARRIS,Elementary,EE - 05,No,No,856,44.9%,28.3%,A,95,A,91,A,95,A,95,B,88,A,96,,,Earned,Earned,Not Earned,,Earned,Not Earned,Earned,007,009,134,146,017,015,ZONED SCHOOL-TRANSFERS ACCEPTED
101912,HOUSTON ISD,101912216,PATTERSON EL,REGION 04: HOUSTON,HARRIS,Elementary,EE - 05,No,No,845,92.4%,53.4%,A,92,C,77,A,93,A,93,B,85,B,88,,,Not Earned,Not Earned,Not Earned,,Not Earned,Earned,Not Earned,029,029,144,144,006,006,ZONED SCHOOL-TRANSFERS ACCEPTED
