DISTRICT NAME,STAAR: % ALL SUBJECTS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MEETS GRADE LEVEL STANDARD OR ABOVE, STAAR: % ALL SUBJECTS AT MASTERS GRADE LEVEL STANDARD,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD,STAAR: % WRITING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % WRITING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % WRITING AT MASTERS GRADE LEVEL STANDARD,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD,STAAR: % SCIENCE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MASTERS GRADE LEVEL STANDARD,STAAR: % SOCIAL STUDIES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % SOCIAL STUDIES AT MEETS GRADE LEVEL STANDARD OR ABOVE, STAAR: % SOCIAL STUDIES AT MASTERS GRADE LEVEL STANDARD
JONESBORO ISD,62,30,11,66,35,11,50,18,6,55,25,12,79,37,16,57,30,9
COPPERAS COVE ISD,71,43,18,71,44,17,58,26,6,72,42,19,76,44,18,78,53,31
PADUCAH ISD,63,37,14,58,35,14,45,30,10,69,36,17,70,43,10,69,41,14
CRANE ISD,66,39,14,64,38,12,61,34,10,65,37,16,76,42,10,67,48,26
CROCKETT COUNTY CONSOLIDATED CSD,69,37,16,68,37,15,48,15,3,75,43,18,79,48,29,56,25,12
CROSBYTON CISD,54,27,7,60,33,10,54,24,3,46,14,5,54,37,5,60,36,13
LORENZO ISD,57,24,7,56,29,8,57,14,0,63,23,8,44,19,2,54,25,17
RALLS ISD,53,28,10,53,29,11,35,11,4,50,23,7,66,38,14,61,39,11
CULBERSON COUNTY-ALLAMOORE ISD,53,24,3,61,33,4,48,21,2,36,12,2,54,17,1,73,44,10
DALHART ISD,66,39,15,62,36,12,49,17,3,72,44,20,76,50,24,71,47,19
TEXLINE ISD,80,56,25,77,58,28,80,51,6,84,57,31,71,43,17,90,66,24
PEGASUS SCHOOL OF LIBERAL ARTS AND,34,14,5,42,22,6,33,4,2,17,6,3,39,13,3,37,14,7
UPLIFT EDUCATION,54,26,9,59,33,11,47,19,5,49,20,8,57,26,8,56,30,15
TEXANS CAN ACADEMIES,48,16,2,37,16,0,,,,48,11,2,53,9,1,66,23,6
LUMIN EDUCATION,62,29,9,73,33,15,,,,52,24,3,,,,,,
ADVANTAGE ACADEMY,37,15,6,43,19,8,33,12,3,28,11,4,44,15,4,37,15,7
LIFE SCHOOL,59,29,9,63,36,11,51,22,5,53,23,8,63,28,7,57,30,12
UNIVERSAL ACADEMY,81,56,32,84,58,32,73,46,20,80,58,36,81,55,28,77,53,34
NOVA ACADEMY,64,23,5,57,25,7,60,30,0,71,18,4,,,,,,
ACADEMY OF DALLAS,31,10,3,41,16,5,40,9,2,20,7,1,26,11,0,26,8,3
TRINITY BASIN PREPARATORY,56,26,10,59,27,11,47,17,4,56,26,9,53,29,14,56,23,9
ACADEMY FOR ACADEMIC EXCELLENCE,,,,,,,,,,,,,,,,,,
A W BROWN LEADERSHIP ACADEMY,51,22,7,61,32,10,43,11,2,52,22,6,34,11,4,44,22,6
JEAN MASSIEU ACADEMY,56,27,12,67,37,17,37,19,9,51,15,7,54,29,11,67,48,24
NOVA ACADEMY SOUTHEAST,55,21,6,61,29,10,54,14,3,46,17,5,67,21,5,48,13,0
WINFREE ACADEMY CHARTER SCHOOLS,52,25,5,46,26,2,,,,30,4,1,55,16,4,69,35,12
A+ ACADEMY,53,24,7,56,27,6,36,8,2,51,22,7,56,27,4,65,35,19
INSPIRED VISION ACADEMY,45,17,5,49,22,6,26,7,1,41,12,4,46,14,4,56,26,9
GATEWAY CHARTER ACADEMY,50,20,6,52,27,11,37,15,0,51,14,4,45,17,4,55,21,0
EDUCATION CENTER INTERNATIONAL ACA,61,32,12,62,34,11,66,30,8,56,29,11,60,27,21,71,50,25
EVOLUTION ACADEMY CHARTER SCHOOL,41,15,2,35,15,1,,,,25,1,0,47,10,0,57,23,4
GOLDEN RULE CHARTER SCHOOL,67,34,14,70,38,15,56,24,5,67,36,18,62,26,7,76,30,14
ST ANTHONY SCHOOL,82,44,13,89,63,29,90,58,6,80,30,6,71,21,0,38,0,0
LA ACADEMIA DE ESTRELLAS,60,26,8,62,29,11,51,21,3,58,23,6,63,31,8,65,22,5
RICHLAND COLLEGIATE HIGH SCHOOL,98,82,38,80,60,0,,,,98,80,17,-1,-1,-1,99,84,45
CITYSCAPE SCHOOLS,40,16,5,43,19,6,37,12,1,38,15,5,41,16,2,42,4,2
MANARA ACADEMY,56,26,10,64,33,12,52,23,6,49,21,8,60,23,11,53,23,9
UME PREPARATORY ACADEMY,78,48,22,82,55,25,68,37,11,73,37,15,85,58,28,83,61,42
LEGACY PREPARATORY,40,14,4,50,23,6,31,8,1,32,8,3,39,9,1,36,13,7
VILLAGE TECH SCHOOLS,57,30,11,59,35,13,48,23,3,52,19,7,59,33,7,77,51,32
INTERNATIONAL LEADERSHIP OF TEXAS,52,27,10,57,33,12,44,18,3,46,19,8,59,31,11,59,33,17
PIONEER TECHNOLOGY & ARTS ACADEMY,69,37,13,76,48,19,65,28,6,62,26,9,76,39,11,64,34,19
BRIDGEWAY PREPARATORY ACADEMY,36,3,0,50,6,0,,,,25,0,0,-1,-1,-1,,,
CARROLLTON-FARMERS BRANCH ISD,62,35,15,63,38,15,53,27,9,61,32,14,62,35,15,69,42,21
CEDAR HILL ISD,59,30,10,66,39,13,53,23,4,48,19,7,62,30,9,63,35,15
DALLAS ISD,60,34,14,61,37,15,48,23,7,61,32,14,62,32,12,64,38,19
DESOTO ISD,48,22,6,53,27,9,39,14,2,40,14,4,50,19,4,59,34,14
DUNCANVILLE ISD,55,27,8,57,32,9,43,17,3,50,20,6,61,29,10,62,32,14
GARLAND ISD,62,35,14,65,40,15,52,24,5,58,28,11,64,36,15,70,44,24
GRAND PRAIRIE ISD,60,34,13,61,37,13,51,24,6,58,29,12,64,35,13,68,43,23
HIGHLAND PARK ISD,95,78,48,96,82,49,94,72,32,95,78,50,95,74,40,96,81,61
IRVING ISD,52,25,8,52,28,8,40,16,3,50,19,6,58,28,8,62,34,16
LANCASTER ISD,55,26,8,57,32,10,48,19,4,49,19,7,61,26,8,60,30,13
MESQUITE ISD,62,35,13,60,34,11,48,20,4,64,35,15,70,40,16,64,39,20
RICHARDSON ISD,68,44,22,68,47,22,58,32,11,66,41,21,72,48,23,76,54,34
SUNNYVALE ISD,86,61,32,87,67,36,77,49,17,85,53,26,86,65,33,90,66,43
COPPELL ISD,90,72,45,90,74,43,86,60,26,90,71,48,91,73,45,92,79,56
DAWSON ISD,63,28,10,74,40,19,62,19,0,61,27,7,57,16,3,11,0,0
KLONDIKE ISD,94,79,49,96,82,51,81,63,31,94,83,56,98,74,48,96,74,33
LAMESA ISD,52,23,6,52,27,8,32,8,0,54,19,5,58,27,8,52,25,5
SANDS CISD,84,52,22,87,52,17,64,25,0,83,51,26,85,65,32,94,63,37
HEREFORD ISD,70,39,14,69,40,14,54,24,5,73,42,17,75,35,10,75,46,21
WALCOTT ISD,67,24,8,69,26,13,61,11,0,66,31,9,74,5,0,,,
COOPER ISD,71,38,14,74,45,18,54,21,2,68,32,10,79,37,10,75,52,30
FANNINDEL ISD,46,21,7,50,21,7,43,14,5,38,14,5,42,27,4,64,36,23
NORTH TEXAS COLLEGIATE ACADEMY,62,34,16,67,37,17,55,24,4,61,33,18,58,31,15,67,44,23
LEADERSHIP PREP SCHOOL,81,53,27,84,60,32,86,51,21,77,48,25,80,50,20,76,47,25
TRIVIUM ACADEMY,82,58,32,83,64,39,82,51,16,83,56,36,81,54,20,70,46,20
DENTON ISD,69,42,18,71,46,19,61,32,9,67,37,16,71,43,17,74,49,28
LEWISVILLE ISD,77,54,27,78,57,27,70,43,13,76,49,26,81,57,30,83,62,38
PILOT POINT ISD,73,43,17,71,46,17,75,34,9,73,41,17,72,39,13,76,51,30
KRUM ISD,74,46,20,74,48,20,67,35,7,75,44,20,80,54,24,74,47,30
PONDER ISD,77,48,21,77,50,18,69,34,9,80,49,24,77,47,21,81,54,31
AUBREY ISD,80,53,23,80,55,23,76,46,11,78,51,25,82,53,21,87,66,39
SANGER ISD,73,45,19,74,50,19,64,34,8,72,39,16,76,45,16,83,59,37
ARGYLE ISD,90,70,38,90,70,36,80,51,17,92,72,41,94,75,40,93,78,55
NORTHWEST ISD,79,54,26,78,55,25,73,44,15,78,49,23,85,61,29,85,64,42
LAKE DALLAS ISD,69,39,14,71,43,14,55,24,5,67,34,13,71,39,14,76,55,28
LITTLE ELM ISD,69,41,17,69,44,17,57,27,6,68,37,17,75,47,21,73,46,24
CUERO ISD,71,41,17,69,45,17,65,35,10,68,35,15,73,43,16,85,53,33
NORDHEIM ISD,72,42,18,70,41,17,59,36,0,77,41,20,67,33,10,84,68,47
YOAKUM ISD,75,46,19,71,43,17,66,38,11,81,49,24,76,43,17,76,52,27
YORKTOWN ISD,60,33,13,58,34,10,50,20,0,58,32,13,66,32,11,67,47,30
WESTHOFF ISD,79,46,17,79,55,12,89,56,11,85,52,33,81,31,6,29,0,0
MEYERSVILLE ISD,81,50,25,81,50,31,70,30,9,80,57,26,96,58,27,80,30,10
SPUR ISD,77,50,18,80,59,23,78,43,4,79,42,17,65,45,16,73,50,16
PATTON SPRINGS ISD,71,46,14,65,44,18,62,38,0,73,50,11,83,44,6,75,50,25
CARRIZO SPRINGS CISD,49,22,8,52,28,9,35,15,2,45,17,7,50,16,4,55,34,16
CLARENDON ISD,79,52,23,79,56,23,69,37,10,80,50,27,82,57,29,78,47,15
HEDLEY ISD,78,49,21,84,59,21,48,10,5,81,58,28,84,37,16,78,44,33
RAMIREZ CSD,40,7,3,45,9,9,-1,-1,-1,36,9,0,40,0,0,,,
BENAVIDES ISD,55,22,6,66,35,11,50,19,0,38,11,4,64,15,2,61,22,6
SAN DIEGO ISD,59,29,10,59,32,10,50,18,2,59,29,10,64,32,12,60,28,14
FREER ISD,65,34,10,63,34,9,51,26,10,66,34,11,68,31,7,73,41,17
CISCO ISD,87,59,27,88,62,26,74,55,9,87,55,28,89,63,32,91,62,34
EASTLAND ISD,75,43,17,74,44,17,61,30,5,77,46,19,80,48,20,73,38,18
GORMAN ISD,70,35,12,69,39,11,77,27,10,69,33,13,69,36,13,70,30,12
RANGER ISD,54,25,7,57,29,8,63,27,6,48,18,5,49,22,6,63,31,16
RISING STAR ISD,67,40,10,76,46,16,63,33,4,62,36,7,62,35,5,69,46,8
COMPASS ACADEMY CHARTER SCHOOL,81,51,23,82,55,25,73,41,9,82,48,23,84,57,24,82,53,29
UTPB STEM ACADEMY,75,46,19,76,51,20,59,29,7,70,38,14,88,55,29,85,63,36
ECTOR COUNTY ISD,52,25,9,53,28,9,45,18,4,51,23,9,56,26,9,53,29,13
ROCKSPRINGS ISD,51,24,7,56,36,11,45,10,0,34,9,4,65,27,8,59,32,3
NUECES CANYON CISD,76,47,21,78,51,20,76,42,12,67,37,14,83,63,33,87,51,36
WAXAHACHIE FAITH FAMILY ACADEMY,41,16,4,42,20,5,34,9,1,43,14,4,41,13,3,39,19,5
AVALON ISD,68,36,12,69,40,14,45,19,2,74,36,11,64,36,13,70,40,20
ENNIS ISD,70,41,17,69,42,16,56,25,3,73,42,20,73,44,19,69,45,25
FERRIS ISD,62,31,11,61,32,9,49,18,5,63,29,11,68,38,12,65,38,19
ITALY ISD,68,36,13,68,40,12,58,24,7,66,30,13,69,34,14,79,54,23
MIDLOTHIAN ISD,80,53,25,79,55,24,71,36,10,81,54,27,85,57,28,81,57,36
MILFORD ISD,57,29,10,61,33,10,37,10,2,45,21,8,71,39,14,82,50,24
PALMER ISD,80,51,22,78,53,22,76,40,12,81,49,21,85,52,22,81,54,31
RED OAK ISD,68,40,17,65,39,14,53,23,6,70,41,19,76,46,18,79,54,32
WAXAHACHIE ISD,74,47,20,73,47,19,66,36,10,75,46,20,80,50,23,80,57,35
MAYPEARL ISD,74,43,18,71,43,19,60,33,10,74,39,16,82,47,17,84,58,36
BURNHAM WOOD CHARTER SCHOOL DISTRI,63,32,12,67,40,17,51,26,3,65,28,12,66,31,7,47,24,14
TRIUMPH PUBLIC HIGH SCHOOLS-EL PAS,69,38,11,53,35,5,,,,100,58,21,73,41,9,73,33,15
EL PASO ACADEMY,69,39,8,56,41,3,,,,48,20,4,80,40,6,93,43,18
HARMONY SCIENCE ACAD (EL PASO),62,33,12,65,37,14,47,21,5,58,27,9,66,38,14,70,41,21
LA FE PREPARATORY SCHOOL,42,19,8,58,30,15,45,14,0,37,17,7,0,0,0,,,
VISTA DEL FUTURO CHARTER SCHOOL,78,46,20,84,54,28,76,41,8,74,42,21,78,41,4,,,
EL PASO LEADERSHIP ACADEMY,49,15,5,48,19,10,38,10,0,53,12,2,72,28,8,27,6,0
CLINT ISD,47,23,7,49,26,6,33,11,2,41,14,4,54,27,7,62,40,20
EL PASO ISD,62,36,14,65,41,14,47,21,5,58,28,12,65,35,13,71,47,26
FABENS ISD,45,18,5,48,23,7,29,8,1,44,13,3,44,13,3,56,32,15
SAN ELIZARIO ISD,51,23,6,52,28,7,39,13,1,47,16,4,54,21,3,72,42,18
YSLETA ISD,63,35,13,65,39,12,53,24,6,60,28,11,69,38,13,71,47,25
ANTHONY ISD,53,24,7,54,30,10,35,13,2,49,16,5,61,25,4,72,37,12
CANUTILLO ISD,66,37,14,66,41,14,54,22,3,60,28,12,73,44,17,78,54,27
TORNILLO ISD,44,17,4,47,24,6,44,14,1,35,8,1,48,17,4,50,21,9
SOCORRO ISD,65,37,13,65,42,11,50,22,5,57,24,8,69,37,11,83,60,35
PREMIER HIGH SCHOOLS,64,37,10,55,38,4,-1,-1,-1,47,16,5,71,29,5,82,51,25
ERATH EXCELS ACADEMY INC,65,37,11,45,23,0,,,,50,8,8,88,38,13,100,92,33
THREE WAY ISD,69,28,10,75,41,13,59,15,4,61,13,7,79,33,10,67,30,15
DUBLIN ISD,84,55,22,84,55,19,69,31,7,87,57,25,89,62,28,83,59,31
STEPHENVILLE ISD,77,51,25,76,50,21,65,40,10,80,55,29,78,52,28,79,53,32
BLUFF DALE ISD,80,53,28,79,59,27,70,41,19,80,49,32,79,47,21,96,63,38
