DISTRICT NAME,TOTAL STUDENTS,SAT-AVERAGE SCORE (2021-2020),AVERAGE SALARY: TEACHER,Total OPERATING AND OTHER REVENUE PER PUPIL,Total OPERATING REVENUE (2020-21),TOTAL ACTUAL OPERATING EXPENDITURES (2020-21),TOTAL ACTUAL OPERATING EXPENDITURES PER PUPIL,TOTAL ACTUAL INSTRUCTIONAL EXPENDITURES,TOTAL ACTUAL INSTRUCTIONAL EXPENDITURES PER PUPIL
TULIA ISD,943,-1,53173,16569,14351184,13097861,13831,6662418,7035
KRESS ISD,271,999,45857,15607,3993284,3453262,12467,1834166,6622
TREETOPS SCHOOL INTERNATIONAL,323,997,57570,10721,3530927,3440147,8798,2508574,6416
ARLINGTON CLASSICS ACADEMY,1526,,60592,9784,15087121,13566342,8798,7656047,4965
FORT WORTH ACADEMY OF FINE ARTS,653,1103,52190,9394,5964954,5890194,9276,3508937,5526
WESTLAKE ACADEMY CHARTER SCHOOL,877,1306,60430,11298,9592556,9557737,11049,5282168,6107
EAST FORT WORTH MONTESSORI ACADEMY,185,,52473,13351,2937200,2710576,12321,1332123,6055
TEXAS SCHOOL OF THE ARTS,293,,47523,10350,2970388,3031344,10562,1559594,5434
CHAPEL HILL ACADEMY,693,,59290,10294,7854030,7724074,10123,4946013,6482
NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,3032,968,45522,10604,32428107,30395185,9940,16895907,5525
HIGH POINT ACADEMY,1431,1018,48405,10681,16960717,16652197,10486,8605323,5419
ARLINGTON ISD,55594,956,63040,12511,612109967,614447406,10821,365863742,6443
BIRDVILLE ISD,22447,1040,61153,12567,236348140,233825850,10313,135755676,5988
EVERMAN ISD,5457,869,64720,13865,71116992,72821740,12903,43259371,7665
FORT WORTH ISD,74326,906,65389,14234,932700625,916158051,11936,508776926,6629
GRAPEVINE-COLLEYVILLE ISD,13930,1113,61115,14894,146711627,146298023,10533,90063166,6484
KELLER ISD,34336,1110,62791,12292,351090436,362918178,10587,218593144,6377
MANSFIELD ISD,35240,1010,63749,11942,337665857,340901844,9723,202716441,5781
LAKE WORTH ISD,3632,947,61449,16673,45642206,43631125,13186,23551450,7117
CROWLEY ISD,16227,889,64750,13923,178345595,180185295,11464,106372378,6768
KENNEDALE ISD,2836,1006,63282,13654,34526316,33432814,11617,18490434,6425
AZLE ISD,6864,1029,60258,11420,69296403,67491995,10122,38546444,5781
HURST-EULESS-BEDFORD ISD,22814,1114,64759,13315,233239089,217560236,9507,132533213,5792
CASTLEBERRY ISD,3636,869,62281,13278,45154836,40891600,11309,23774946,6575
EAGLE MT-SAGINAW ISD,22381,1054,61681,13391,224345137,218910170,10348,128469879,6073
CARROLL ISD,8382,1259,61534,14858,91767365,86708451,10424,49389780,5938
WHITE SETTLEMENT ISD,6981,929,59582,11924,67944428,66694929,9969,37788510,5649
TEXAS COLLEGE PREPARATORY ACADEMIES,15236,1104,48328,10134,158650605,144326580,9210,89095779,5686
ABILENE ISD,15274,1044,55009,13199,179023889,170570580,10984,97471005,6277
MERKEL ISD,1082,989,48890,12883,13085809,12132239,11090,6891157,6299
TRENT ISD,138,-1,47888,27433,3081672,2757887,21053,1294411,9881
JIM NED CISD,1576,1023,51310,12397,16363522,15606124,11045,9037162,6396
WYLIE ISD,5097,1149,50075,10478,46135745,41347731,8437,24275458,4953
TERRELL COUNTY ISD,133,-1,54162,32170,2940721,2534593,20947,1128561,9327
BROWNFIELD ISD,1640,897,48165,15671,22002470,19524404,12226,10230334,6406
MEADOW ISD,270,843,48079,17201,4475039,4478443,16900,2507174,9461
