DISTRICT NAME,TOTAL STUDENTS,SAT-AVERAGE SCORE (2021-2020),AVERAGE SALARY: TEACHER,Total OPERATING AND OTHER REVENUE PER PUPIL,Total OPERATING REVENUE (2020-21),TOTAL ACTUAL OPERATING EXPENDITURES (2020-21),TOTAL ACTUAL OPERATING EXPENDITURES PER PUPIL,TOTAL ACTUAL INSTRUCTIONAL EXPENDITURES,TOTAL ACTUAL INSTRUCTIONAL EXPENDITURES PER PUPIL
CISCO ISD,812,-1,50818,14508,12093376,10873511,12991,6381884,7625
EASTLAND ISD,1078,1029,52611,13680,13723448,11019153,10337,6873897,6448
GORMAN ISD,265,,48293,22597,5840202,5763172,20881,2914534,10560
RANGER ISD,333,-1,45483,15618,5419204,4748278,13605,2858825,8191
RISING STAR ISD,191,,47546,14567,2702181,2266693,12187,1223650,6579
COMPASS ACADEMY CHARTER SCHOOL,1371,,54265,9308,12305728,9406833,7116,6983201,5282
UTPB STEM ACADEMY,763,987,54879,9587,7592657,5825609,7356,4192696,5294
ECTOR COUNTY ISD,31762,924,61203,12896,392643356,349582945,11002,183624979,5779
ROCKSPRINGS ISD,257,818,48914,22479,5613730,4361843,16155,2185682,8095
NUECES CANYON CISD,254,-1,53180,16804,4335550,3906547,15142,2114567,8196
WAXAHACHIE FAITH FAMILY ACADEMY,2582,794,66371,13572,36387219,33320593,12428,19205545,7164
AVALON ISD,339,1004,51028,14726,4801554,4092322,12326,2364677,7123
ENNIS ISD,5999,1012,58744,12925,63692088,61380476,10554,35689580,6136
FERRIS ISD,2625,942,56223,13422,30520547,32801593,12699,19164995,7420
ITALY ISD,647,997,53445,17714,10128429,9274403,14935,4944984,7963
MIDLOTHIAN ISD,10391,1017,59438,13704,105969875,96314049,9818,54944642,5601
MILFORD ISD,238,-1,54234,15212,3676504,3477617,14194,1951545,7965
PALMER ISD,1252,1039,55928,13910,15955670,14047536,11301,7559646,6082
RED OAK ISD,6287,941,61005,12147,64181373,62538525,10446,32139331,5368
WAXAHACHIE ISD,10065,1039,61441,13161,102410900,108567224,11230,63090412,6526
MAYPEARL ISD,1176,1060,53305,12828,12978757,11527311,9937,6322670,5451
BURNHAM WOOD CHARTER SCHOOL DISTRICT,1376,956,58526,11453,14338594,13060902,10432,6742245,5385
TRIUMPH PUBLIC HIGH SCHOOLS-EL PASO,198,932,41567,14469,2517543,2297099,13202,1035533,5951
EL PASO ACADEMY,272,,50294,9963,3208182,2564078,7963,1366074,4242
HARMONY PUBLIC SCHOOLS - WEST TEXAS,4569,1096,60787,11778,48791707,46036980,11117,26048869,6290
LA FE PREPARATORY SCHOOL,190,,49296,14767,2657990,2532242,14068,1453444,8075
VISTA DEL FUTURO CHARTER SCHOOL,340,,54712,12240,3047698,3248790,13047,1436916,5771
EL PASO LEADERSHIP ACADEMY,266,,50468,20033,4206999,3045093,14500,1355017,6452
CLINT ISD,10455,897,58610,14752,145042692,125032572,11768,68180994,6417
EL PASO ISD,50709,942,56306,13798,607219620,598491653,11842,346122350,6848
FABENS ISD,1983,872,57466,15336,29190277,24713728,12085,14888372,7280
SAN ELIZARIO ISD,3190,931,57074,14579,42416777,39285808,12319,21130444,6626
YSLETA ISD,37211,912,59446,13015,457387152,458483212,11954,277427791,7233
ANTHONY ISD,798,-1,57909,13838,10333783,10936844,13915,5661728,7203
CANUTILLO ISD,6076,904,58568,17214,71277128,78774008,13079,43654405,7248
TORNILLO ISD,887,864,57988,16353,13673027,13499103,14785,6363487,6970
SOCORRO ISD,47137,917,58852,11841,483698575,489074522,10421,304609641,6490
PREMIER HIGH SCHOOLS,6822,929,44144,10538,66671657,52210140,8252,29048208,4591
ERATH EXCELS ACADEMY INC,94,,45185,11628,1416107,1296203,10538,662634,5387
THREE WAY ISD,236,-1,50110,13382,2845271,2554368,11881,1401760,6520
DUBLIN ISD,1087,985,45571,14767,14988069,14060853,12900,7040260,6459
STEPHENVILLE ISD,3688,1059,52922,12951,40909681,35550131,9753,20063350,5504
BLUFF DALE ISD,227,-1,48321,15305,3030233,2486398,11302,1322247,6010
HUCKABAY ISD,304,1092,49640,14589,3245494,3141004,11138,1830373,6491
LINGLEVILLE ISD,284,-1,49547,15385,3775506,3829335,13775,2068917,7442
MORGAN MILL ISD,118,,52305,12607,1621872,1489837,11549,836254,6483
CHILTON ISD,546,878,48360,16540,7976443,7090612,13404,3771192,7129
MARLIN ISD,882,932,59240,19249,16778551,15865652,18091,7723095,8806
WESTPHALIA ISD,155,,54035,14312,2270607,1885934,11861,1065614,6702
ROSEBUD-LOTT ISD,716,979,53595,14476,9212421,8477335,12376,4189957,6117
BONHAM ISD,1885,1016,49524,16998,25180624,22193682,12385,12383997,6911
DODD CITY ISD,328,-1,55295,13869,4340224,3929709,11696,2298822,6842
ECTOR ISD,234,981,51449,17199,4234072,3536895,13816,1970050,7696
HONEY GROVE ISD,640,-1,51067,16344,9071499,7410552,11914,3763229,6050
LEONARD ISD,825,902,54689,13038,10796206,10563160,12727,5710388,6880
SAVOY ISD,303,1013,49432,16231,4679850,3980484,13137,2139498,7061
TRENTON ISD,725,1102,52281,13942,9503768,7280532,10070,3820483,5284
SAM RAYBURN ISD,517,-1,51991,13476,6736326,6461478,12378,4002013,7667
FLATONIA ISD,629,1054,53971,16194,8838334,7641557,12736,4110323,6851
LA GRANGE ISD,1868,1030,51240,14169,23659590,21762977,11638,11802595,6312
SCHULENBURG ISD,696,1112,55741,16100,10017032,9406160,13593,5696004,8231
FAYETTEVILLE ISD,279,,46473,16717,3764057,3053649,11145,1696176,6190
ROUND TOP-CARMINE ISD,240,1102,47936,16385,3555298,3174489,13508,1663591,7079
ROBY CISD,329,1003,52042,20873,6495280,3735702,11935,2146810,6859
ROTAN ISD,242,,51109,17905,3914695,4048740,17012,1990475,8363
FLOYDADA COLLEGIATE ISD,686,,46481,22576,11437145,10910330,15498,5169788,7343
LOCKNEY ISD,430,885,53245,18019,7547988,6637391,14620,3462132,7626
CROWELL ISD,192,894,47944,40093,8081586,3535152,17501,1739431,8611
LAMAR CISD,38877,996,65178,11952,368291151,379061199,10408,239617629,6579
NEEDVILLE ISD,3378,1001,64607,12774,37264922,34316836,10396,19575927,5930
FORT BEND ISD,76543,1098,65212,11697,763625793,825613856,10797,472227182,6175
STAFFORD MSD,3511,886,63383,14218,39986176,42739387,12889,23653922,7133
MOUNT VERNON ISD,1523,-1,53688,13695,17511988,16155345,10953,9223902,6253
FAIRFIELD ISD,1681,1078,53886,14225,22041531,21555986,12680,11725408,6897
TEAGUE ISD,1181,-1,53708,14813,14654489,13883916,11969,6945013,5987
WORTHAM ISD,520,-1,50419,14123,6483191,5122415,10348,2972205,6004
DEW ISD,133,,56157,20291,3169298,2546371,15527,1421829,8670
DILLEY ISD,907,956,52621,21312,13410688,12872973,14399,6572618,7352
PEARSALL ISD,2031,913,53630,20162,32069859,26019969,12920,14476978,7188
SEAGRAVES ISD,516,928,57749,18282,8201409,8830786,17521,4786873,9498
LOOP ISD,150,,49747,24569,3039394,2760191,19168,1405501,9760
SEMINOLE ISD,2957,1006,59578,18757,45285914,40871333,13964,22811605,7794
ODYSSEY ACADEMY INC,1492,960,56969,12790,17744939,15958634,11424,8122669,5814
AMBASSADORS PREPARATORY ACADEMY,189,,46028,12801,3149086,3478860,14142,2526559,10271
DICKINSON ISD,11901,972,62061,12747,123703622,129397161,11159,77717567,6702
GALVESTON ISD,6650,1083,57178,14964,91958879,88581908,13239,47293002,7068
HIGH ISLAND ISD,158,991,50934,19015,2989164,2928971,17229,1405949,8270
TEXAS CITY ISD,7756,934,60095,18671,124832436,106285727,13297,56590482,7080
HITCHCOCK ISD,1715,875,60647,17482,26794427,24738820,15048,11598914,7055
SANTA FE ISD,4325,996,61231,15452,55824336,49455764,11507,24100000,5607
CLEAR CREEK ISD,40235,1056,64477,11944,382364074,406821047,10039,251559188,6207
FRIENDSWOOD ISD,6155,1155,62354,11908,60787022,60352282,9900,34691220,5691
POST ISD,784,-1,50304,17336,10957161,10356709,12995,5437460,6822
SOUTHLAND ISD,114,810,42440,33484,3824320,2098106,17933,944497,8073
DOSS CONSOLIDATED CSD,24,,52585,48095,865714,619686,34427,291965,16220
FREDERICKSBURG ISD,3100,1041,53187,14176,39031892,34638804,11232,19057908,6180
HARPER ISD,559,1001,53901,12783,7033981,6862867,12410,3482200,6297
GLASSCOCK COUNTY ISD,293,969,57661,60239,9161215,7123773,24396,3505770,12006
GOLIAD ISD,1283,1032,52436,13178,14905654,16423831,13129,7931073,6340
GONZALES ISD,2613,979,51631,13269,33515276,29394197,11080,15693599,5915
NIXON-SMILEY CISD,1064,945,56281,16429,14848433,15559212,15329,9134332,8999
WAELDER ISD,304,845,50039,15775,4453278,4401330,14869,2376385,8028
LEFORS ISD,176,,48686,16984,2419528,2447664,14657,1326693,7944
MCLEAN ISD,185,-1,51081,18950,2755848,2888576,14443,1649337,8247
PAMPA ISD,3451,1047,51033,11633,37009417,33222391,9511,18741604,5365
GRANDVIEW-HOPKINS ISD,46,,57465,35148,1015633,1180177,31057,643634,16938
BELLS ISD,884,1094,54823,14725,11261252,9517259,11003,5291934,6118
COLLINSVILLE ISD,556,-1,55671,16851,8122146,6793543,12604,3570322,6624
DENISON ISD,4674,1156,55339,13311,53439383,53835391,11749,31025181,6771
HOWE ISD,1248,1031,57036,13582,14979046,13812899,11304,8106288,6634
SHERMAN ISD,7698,959,56957,14258,87637454,83550378,11180,48630492,6507
TIOGA ISD,706,1024,55317,16314,9835746,8465795,11502,4900418,6658
VAN ALSTYNE ISD,2046,1154,52626,12886,19365258,17123041,9211,9601516,5165
WHITESBORO ISD,1717,1174,52911,12849,18576327,17280512,10855,9553180,6001
WHITEWRIGHT ISD,755,987,54139,15841,11097323,8852421,11914,4913006,6612
POTTSBORO ISD,1430,1054,56362,15832,15352899,14935245,10653,8639694,6162
S AND S CISD,991,1041,54780,14777,13045395,11508637,11696,6707493,6817
GUNTER ISD,1113,1059,57362,19695,18040377,19563598,19218,11437782,11236
TOM BEAN ISD,657,1000,52858,14716,8939438,7760249,11776,4188517,6356
EAST TEXAS CHARTER SCHOOLS,141,-1,66825,10700,1476599,1596195,11567,984174,7132
GLADEWATER ISD,1703,984,52296,12631,19845980,19626541,11202,10476769,5980
KILGORE ISD,3887,958,50783,12104,42131415,37764948,9573,20912523,5301
LONGVIEW ISD,8223,1046,55556,17625,118245377,104709784,12724,59807145,7268
PINE TREE ISD,4677,908,49863,12430,50711438,48998904,10805,25979240,5729
SABINE ISD,1531,1057,51097,12721,18042795,16311258,10745,9193796,6057
SPRING HILL ISD,2028,1194,50202,12632,21500556,19484742,9762,11360378,5692
WHITE OAK ISD,1458,-1,50799,13137,16378409,15493879,10634,8795309,6037
ANDERSON-SHIRO CISD,886,1004,54045,14430,10681086,10071017,11380,5445779,6153
IOLA ISD,539,1063,48828,14823,7062986,5874683,11043,3350148,6297
NAVASOTA ISD,2953,897,49308,14872,35593317,34981112,12422,19145611,6799
RICHARDS ISD,213,-1,49464,14912,2639050,2209057,12138,1348163,7407
SEGUIN ISD,7039,1038,56607,13221,76047076,76704466,11134,42192989,6125
SCHERTZ-CIBOLO-U CITY ISD,15875,1020,60368,10815,139994264,140157695,8960,85320421,5454
NAVARRO ISD,1971,1093,55904,12488,19809193,19950764,10855,11141402,6062
MARION ISD,1471,970,53222,13854,17671557,17608487,11890,9616619,6493
ABERNATHY ISD,820,1114,51462,16199,10594449,9765151,12116,5550711,6887
COTTON CENTER ISD,99,,49375,18346,1707963,2215800,23081,1169926,12187
HALE CENTER ISD,597,988,50539,15541,8868129,7816743,12648,4142882,6704
PETERSBURG ISD,274,,51197,28641,4703443,4288448,14995,2408878,8423
PLAINVIEW ISD,4710,-1,50263,12960,58874113,56910609,11802,31108494,6451
MEMPHIS ISD,431,,50277,21028,8991237,7086866,16367,3750624,8662
TURKEY-QUITAQUE ISD,193,-1,48623,16638,3066455,2689633,13793,1443640,7403
HAMILTON ISD,832,1031,54404,13647,10708272,10161766,12879,6349338,8047
HICO ISD,603,-1,51293,15493,8286743,8017002,14114,4582787,8068
GRUVER ISD,418,-1,50001,17001,6180563,6162195,14037,3723749,8482
PRINGLE-MORSE CISD,128,,53516,21442,2139397,2117378,18905,1088570,9719
SPEARMAN ISD,783,,51369,30644,10912859,10726216,13259,6051090,7480
CHILLICOTHE ISD,199,,49720,27835,4491920,3128331,15113,1567171,7571
QUANAH ISD,497,-1,48729,19073,10070679,9343836,17697,5302423,10042
KOUNTZE ISD,1125,915,52085,15742,15579977,13001468,12016,7335140,6779
SILSBEE ISD,2708,988,51293,14420,35708372,33129414,12135,16736370,6131
HARDIN-JEFFERSON ISD,2602,1119,51179,11022,23895537,22885011,9246,12479646,5042
LUMBERTON ISD,4188,1031,50231,10664,41904612,36203571,8768,22094573,5351
WEST HARDIN COUNTY CISD,568,,51588,15016,7691843,6653940,12437,3353720,6269
SER-NINOS CHARTER SCHOOL,1009,,63223,14543,15924629,11175637,10206,6793160,6204
ARISTOI CLASSICAL ACADEMY,1219,1122,51548,11890,12715273,10534096,9827,5788262,5399
GEORGE I SANCHEZ CHARTER,947,914,56375,12919,12828895,12477948,12566,5858703,5900
RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,1563,899,53644,15177,20185954,19632203,14761,8860948,6662
ACADEMY OF ACCELERATED LEARNING INC,4,,53779,11483,9771716,8263098,9710,3980290,4677
EXCEL ACADEMY,217,,50843,20242,4169826,4127826,20038,3191841,15494
THE VARNETT PUBLIC SCHOOL,1137,,58574,12269,16355176,16880550,12664,7927927,5947
ALIEF MONTESSORI COMMUNITY SCHOOL,349,,55187,10890,3604614,2235918,6755,1375323,4155
AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,560,,57106,13302,6677830,5479550,10915,3241187,6457
HOUSTON HEIGHTS HIGH SCHOOL,175,819,49163,12748,2269151,2166702,12172,1308308,7350
HOUSTON GATEWAY ACADEMY INC,2082,1043,49077,15109,32639641,15735325,7044,9904850,4434
CALVIN NELMS CHARTER SCHOOLS,304,934,64751,11994,3598185,2725104,9084,1534510,5115
SOUTHWEST SCHOOL,1526,901,59912,15057,25611824,23134855,13601,13209050,7765
TWO DIMENSIONS PREPARATORY ACADEMY,439,,59549,11871,5152096,4910395,11160,2431914,5527
COMQUEST ACADEMY,44,-1,50899,21716,825218,736865,19391,243908,6419
YES PREP PUBLIC SCHOOLS INC,14557,998,59953,13746,184953654,158762574,11800,70751358,5258
HARMONY PUBLIC SCHOOLS - HOUSTON SOUTH,3564,990,62333,12891,47167126,40662194,11113,23500381,6423
BEATRICE MAYES INSTITUTE CHARTER SCHOOL,462,,52420,12635,5938354,4747172,10100,2796214,5949
ACCELERATED INTERMEDIATE ACADEMY,214,,57717,12115,2847098,1851171,7877,1241487,5283
PROMISE COMMUNITY SCHOOL,1722,,58463,10760,16743111,16905392,10865,10383003,6673
MEYERPARK ELEMENTARY,272,,49717,12879,3348564,2594014,9977,1373427,5282
DRAW ACADEMY,692,,70626,12837,9075742,7831003,11076,4797631,6786
HARMONY PUBLIC SCHOOLS - HOUSTON NORTH,5894,1066,62403,11523,69003554,60742363,10146,35461823,5923
STEP CHARTER SCHOOL,558,,63664,15433,7670054,7013843,14112,3697907,7440
THE RHODES SCHOOL FOR PERFORMING ARTS,607,,51835,16779,12047138,10429684,14526,4188441,5833
HARMONY PUBLIC SCHOOLS - HOUSTON WEST,4086,1134,62202,11383,45350243,39841381,10000,24187001,6071
THE LAWSON ACADEMY,169,,57115,16509,3004562,2229449,12250,1184140,6506
THE PRO-VISION ACADEMY,397,-1,56116,14541,6281727,5447215,12609,2376258,5501
BETA ACADEMY,1298,,55224,12586,15008458,11097276,9209,5428687,4505
A+ UNLIMITED POTENTIAL,145,,64047,15793,2400476,2006292,13199,824181,5422
ETOILE ACADEMY CHARTER SCHOOL,341,,56128,15222,3287898,2828813,13096,1216202,5631
YELLOWSTONE COLLEGE PREPARATORY,157,,56775,15575,3582175,3274104,14235,1509786,6564
LEGACY SCHOOL OF SPORT SCIENCES,369,970,52891,9795,3839649,4440635,11328,1822435,4649
BLOOM ACADEMY CHARTER SCHOOL,193,,55366,19599,1794725,1424606,15318,662936,7128
REVE PREPARATORY CHARTER SCHOOL,165,,50750,17079,2039687,1697655,14147,689749,5748
ELEVATE COLLEGIATE CHARTER SCHOOL,55,,45000,,,,,,
HOUSTON CLASSICAL CHARTER SCHOOL,131,,59006,38971,2105728,1337340,24315,416779,7578
ALDINE ISD,61528,867,61867,13847,798808327,757194251,11991,470654290,7453
ALIEF ISD,40642,914,64889,13001,507070687,509389133,12211,318558090,7637
CHANNELVIEW ISD,9503,889,64895,13833,114992330,110788390,11583,69628369,7279
CROSBY ISD,6465,918,64646,12689,68833598,62293487,9858,38268615,6056
CYPRESS-FAIRBANKS ISD,116913,1127,64910,11877,1122119576,1173665698,10245,751772967,6562
DEER PARK ISD,12327,1085,65605,14418,147117917,153727069,12511,91006606,7407
GALENA PARK ISD,21400,1022,62966,14438,282872970,274808454,12551,152687078,6973
GOOSE CREEK CISD,23833,1020,63456,14213,283708389,281662853,12111,164608179,7078
HOUSTON ISD,193727,967,59161,13325,2213460261,2068485856,10524,1177202440,5989
HUMBLE ISD,47477,1000,63749,12903,511723495,453748758,9987,271110226,5967
KATY ISD,88165,1091,62499,12545,878899212,885492771,10542,557899178,6642
KLEIN ISD,53059,989,62222,11534,518063895,525991153,9975,316193065,5996
LA PORTE ISD,6925,935,66635,16406,86618337,83846738,12012,46674016,6687
PASADENA ISD,49255,923,61600,12932,598379504,606994531,12009,361087907,7144
SPRING ISD,33406,864,62986,12762,358018835,394257855,11756,224211859,6686
SPRING BRANCH ISD,33474,1040,64985,14433,371440200,401402680,12078,233282842,7020
TOMBALL ISD,20184,1073,61811,11726,175231047,174295706,9368,107905361,5799
SHELDON ISD,10565,863,63352,15542,123005219,118552595,11624,72694542,7128
HUFFMAN ISD,3565,1015,59366,13536,41479231,37212285,10836,19799379,5766
KARNACK ISD,134,,48935,19690,2774331,2348355,16422,1047165,7323
MARSHALL ISD,5059,-1,52459,12295,54442321,52673126,10420,29082463,5753
WASKOM ISD,845,,49579,15832,11481179,10713398,13002,6052925,7346
HALLSVILLE ISD,19079,1065,48957,10264,146655356,138885360,9105,117226531,7685
HARLETON ISD,711,-1,52430,13869,9714826,8686751,12166,4622394,6474
ELYSIAN FIELDS ISD,829,-1,50944,18365,13114622,10192680,12062,5395505,6385
CHANNING ISD,163,-1,48483,17607,2630456,2314844,13779,1216238,7240
HARTLEY ISD,232,,47884,16560,3368998,3011271,12814,1641367,6985
HASKELL CISD,537,-1,52835,21078,9453553,8838341,16099,4859591,8852
RULE ISD,143,,45659,17844,2491439,2366220,16782,1175458,8337
PAINT CREEK ISD,95,,46910,29940,2158676,2032336,22333,1107962,12175
KATHERINE ANNE PORTER SCHOOL,74,1128,49132,16841,1700990,1429191,14150,753226,7458
TEXAS PREPARATORY SCHOOL,120,,41463,16009,2525732,2575429,16096,1319059,8244
KI CHARTER ACADEMY,281,,55662,21034,5805508,6004737,21756,4015530,14549
SAN MARCOS CISD,8136,977,55336,14109,92898842,91274360,11419,52817004,6608
DRIPPING SPRINGS ISD,7859,1169,55513,13301,73322802,71560554,9862,41515454,5722
WIMBERLEY ISD,2606,1141,58097,13211,26530149,27227519,10636,14781564,5774
HAYS CISD,21345,990,58611,12576,205673395,209773216,10347,122596402,6047
CANADIAN ISD,839,-1,55968,17059,11321620,11833871,13494,6834414,7793
ATHENS ISD,2955,1078,56860,13298,33059743,30428578,10232,17453990,5869
BROWNSBORO ISD,2584,1019,49489,12713,30195173,28401100,10970,16156923,6241
CROSS ROADS ISD,538,1031,47278,15018,7410476,6540069,12410,3339812,6337
EUSTACE ISD,1650,1028,59450,15367,20130265,19396198,12184,11456352,7196
MALAKOFF ISD,1420,941,55802,15431,18240584,18219660,13407,9926377,7304
TRINIDAD ISD,153,912,49515,16472,2451057,2464933,15903,1165586,7520
MURCHISON ISD,179,,47258,16700,2784498,2231905,13285,1330985,7923
LAPOYNOR ISD,491,1014,47258,14518,6215046,5888585,12449,3528690,7460
HORIZON MONTESSORI PUBLIC SCHOOLS,1392,,49107,30504,15758985,13461007,10516,7128878,5569
TRIUMPH PUBLIC HIGH SCHOOLS-RIO GRANDE VALLEY,484,-1,38044,13116,6453266,5184687,10538,2522416,5127
IDEA PUBLIC SCHOOLS,67988,1000,56287,13117,812566609,697804624,11226,317046623,5101
VANGUARD ACADEMY,5364,958,61610,13391,65696988,56054568,11426,32041217,6531
EXCELLENCE IN LEADERSHIP ACADEMY,301,,54761,13282,3984687,3504936,11683,2235406,7451
DONNA ISD,13060,968,58223,14298,190645566,167843017,12124,95011469,6863
EDCOUCH-ELSA ISD,4140,859,53426,15788,65661985,59678360,13154,31482630,6939
EDINBURG CISD,32043,1084,62515,18740,407021632,399207173,12187,245035323,7480
HIDALGO ISD,2836,857,54851,17082,44117265,39840117,13298,20042227,6690
MCALLEN ISD,20282,942,58275,13213,263987634,261261002,12129,144510553,6709
MERCEDES ISD,4416,-1,56562,17976,67088416,61056344,13052,33721842,7209
MISSION CISD,13838,890,63192,15204,184500923,181407523,12062,102194810,6795
PHARR-SAN JUAN-ALAMO ISD,29242,1043,60356,14583,432265591,413757331,13249,240523009,7702
PROGRESO ISD,1393,,51570,15410,21115681,19006113,12398,9291034,6061
SHARYLAND ISD,9481,1101,57750,14189,114661323,109556611,11246,61775692,6341
LA JOYA ISD,24024,1162,60684,14228,357971646,349156235,13117,192609407,7236
WESLACO ISD,15581,1084,61997,12136,199476789,190366027,11509,103102458,6234
LA VILLA ISD,557,,55650,16864,9315373,8459809,14171,3901438,6535
MONTE ALTO ISD,890,908,54757,16228,13101063,11999414,13467,6467365,7259
VALLEY VIEW ISD,3789,-1,58507,13888,53510021,51055586,12356,28079758,6796
ABBOTT ISD,282,-1,54155,15186,3813838,3312642,12090,1937414,7071
BYNUM ISD,181,833,48747,17777,3272551,2704723,13870,1411876,7240
COVINGTON ISD,301,915,54728,29776,8068799,7130947,25837,3722826,13489
HILLSBORO ISD,1930,914,49709,14294,23321194,22165297,11828,12559680,6702
HUBBARD ISD,440,1042,45268,17637,6098863,5346099,12851,2550472,6131
ITASCA ISD,628,894,47930,16384,9278588,8213934,13334,4440167,7208
MALONE ISD,153,,54302,17031,2715330,2104919,12757,1130025,6849
MOUNT CALM ISD,193,884,50244,18033,3109951,2600600,14134,1378012,7489
WHITNEY ISD,1474,1032,52065,14737,17872643,16519294,11480,8752917,6083
AQUILLA ISD,335,977,48187,17316,5208146,4290634,13535,2385059,7524
BLUM ISD,344,994,49728,17862,5736238,4123000,11296,2182220,5979
PENELOPE ISD,198,965,49656,14651,3079360,2993547,14187,1530796,7255
ANTON ISD,182,,42017,17406,2957410,2696137,14653,1291592,7020
LEVELLAND ISD,2746,1084,49114,14873,35008064,32924655,11843,19216142,6912
ROPES ISD,514,1045,48795,15033,6406722,5916706,12456,3241994,6825
SMYER ISD,416,918,50653,15039,6196167,5329835,12936,2922427,7093
SUNDOWN ISD,576,997,55030,16143,8867103,9404631,16675,5472936,9704
WHITHARRAL ISD,236,-1,53675,15461,2538406,2462968,13994,1314110,7467
LAKE GRANBURY ACADEMY CHARTER SCHOOL,51,,110560,17053,1210781,1011736,14250,379337,5343
GRANBURY ISD,7712,1065,56663,11652,76926158,73014270,9805,44140589,5927
LIPAN ISD,447,-1,50660,16369,6018226,5121839,12402,3060536,7410
TOLAR ISD,847,1002,51849,13343,9443853,8157057,10158,4754126,5920
SULPHUR SPRINGS ISD,4329,1016,50655,12768,50082573,48080595,11171,29172093,6778
CUMBY ISD,435,917,51125,14790,6033895,5181711,12337,2890850,6883
NORTH HOPKINS ISD,535,,49431,17018,8375176,6438214,11600,3785927,6821
MILLER GROVE ISD,299,,51111,16310,4690153,3890328,12713,2126965,6951
COMO-PICKTON CISD,724,,49610,13433,9398583,8785178,12444,5264677,7457
SALTILLO ISD,244,-1,51019,18860,4733009,4194887,16581,2253277,8906
SULPHUR BLUFF ISD,202,990,46406,15675,3327224,3066588,14067,1473243,6758
CROCKETT ISD,1190,937,55555,16056,18015849,16313923,12815,8114493,6374
GRAPELAND ISD,631,-1,51313,14250,7738375,6139806,10199,3376086,5608
LOVELADY ISD,504,-1,50085,15497,6615725,6006597,11778,3426643,6719
LATEXO ISD,488,1064,51891,13802,6017459,5644142,12164,3340192,7199
KENNARD ISD,246,1022,49040,16821,3782668,3504533,15715,1703799,7640
BIG SPRING ISD,3629,945,49192,12503,41745756,41398235,11198,21339425,5772
COAHOMA ISD,1084,-1,53421,15572,15806252,13123867,11985,7371738,6732
FORSAN ISD,764,-1,56701,14460,9047242,8945444,11528,4991477,6432
FT HANCOCK ISD,400,884,55055,14792,5871684,6232160,15388,3227703,7970
SIERRA BLANCA ISD,118,,61095,28343,2479448,1839552,14372,1071849,8374
DELL CITY ISD,66,,62776,29874,2094145,2004979,28239,826167,11636
CADDO MILLS ISD,2227,992,54658,12155,21257727,20020454,10055,10837786,5443
CELESTE ISD,483,1171,52744,15210,6889767,6506050,13170,3594621,7277
COMMERCE ISD,1440,1000,53943,16137,21159754,20694065,14203,10701871,7345
GREENVILLE ISD,5320,970,53738,12958,60389232,52672847,9993,28521413,5411
LONE OAK ISD,1025,992,58730,12584,10836348,11899706,12331,6593778,6833
QUINLAN ISD,2575,938,55079,12828,31459666,27651512,10697,14354598,5553
WOLFE CITY ISD,701,,52139,15394,9332923,8786668,13772,5192886,8139
CAMPBELL ISD,303,-1,46536,16034,4425288,3922686,13668,1976288,6886
BLAND ISD,761,1016,53652,15875,10683518,9195569,12719,4986262,6897
BOLES ISD,529,-1,64234,18896,8783200,7871180,15837,4272851,8597
BORGER ISD,2493,874,52262,13268,28158642,26835279,10882,16137883,6544
SANFORD-FRITCH ISD,692,,52407,13478,8596382,9374728,13686,4642616,6778
PLEMONS-STINNETT-PHILLIPS CISD,621,1170,51346,21683,8672781,9101562,13564,5157955,7687
SPRING CREEK ISD,96,,53527,19403,1853053,1631550,15392,859670,8110
IRION COUNTY ISD,334,928,53975,32046,5624567,5086806,15749,2642216,8180
BRYSON ISD,252,-1,54763,18233,3765785,3216171,12370,1723236,6628
JACKSBORO ISD,1077,1008,56726,19243,15134054,13540881,12786,6978952,6590
PERRIN-WHITT CISD,322,920,56867,17392,4900029,4293934,13588,2492683,7888
EDNA ISD,1549,973,48759,14032,19200693,17365585,11789,9813332,6662
GANADO ISD,736,908,52946,15098,9364961,8037849,11289,4579377,6432
INDUSTRIAL ISD,1156,1017,53895,14866,14919720,13806441,11612,7263364,6109
BROOKELAND ISD,369,1000,50648,16265,5924373,5446908,14801,3038035,8256
BUNA ISD,1483,936,48572,14595,19525020,17402869,11727,9826832,6622
JASPER ISD,2166,987,52987,13375,27935296,26967923,12082,15045182,6741
KIRBYVILLE CISD,1450,1034,48825,12866,16054456,14784904,10576,8006744,5727
EVADALE ISD,397,946,48767,17837,6350765,5894938,15154,2976939,7653
FT DAVIS ISD,176,,54866,15596,3041136,3143509,16121,1752108,8985
VALENTINE ISD,35,,62541,48246,1640380,1554509,45721,785502,23103
TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL,366,-1,46343,11330,5810818,4566158,10036,2095311,4605
EHRHART SCHOOL,507,,46944,12931,6258425,4927871,10182,2778811,5741
BOB HOPE SCHOOL,2362,942,51028,11874,28315848,22258793,9333,11416099,4787
NEDERLAND ISD,4983,1020,60013,13443,53409677,55197114,11050,31237061,6254
PORT ARTHUR ISD,7840,886,54868,17634,100402423,101504563,12942,55797299,7114
PORT NECHES-GROVES ISD,5186,1003,60405,13465,57499740,54193765,10909,30664732,6172
