DISTRICT NAME,TOTAL NUMBER OF SCHOOLS,TOTAL STUDENTS,Total OPERATING AND OTHER REVENUE PER PUPIL,Total OPERATING REVENUE (2020-21),DISTRICT SIZE
CORPUS CHRISTI MONTESSORI SCHOOL,1,121,11579,1343192,Under 500
SEASHORE CHARTER SCHOOLS,2,495,9411,4696310,Under 500
AGUA DULCE ISD,2,400,15576,5831899,Under 500
BISHOP CISD,5,1457,14976,20339132,"1,000 to 1,599"
CALALLEN ISD,6,3856,13179,45986039,"3,000 to 4,999"
CORPUS CHRISTI ISD,57,33107,13121,361891472,"25,000 to 49,999"
DRISCOLL ISD,1,272,17967,4593752,Under 500
LONDON ISD,4,1427,11650,12560960,"1,000 to 1,599"
PORT ARANSAS ISD,3,524,20643,8458071,500 to 999
ROBSTOWN ISD,6,2479,14949,34115960,"1,600 to 2,999"
TULOSO-MIDWAY ISD,6,3745,15313,45576918,"3,000 to 4,999"
BANQUETE ISD,3,858,15915,11289828,500 to 999
FLOUR BLUFF ISD,7,5523,13464,51844234,"5,000 to 9,999"
WEST OSO ISD,5,1964,12284,21490723,"1,600 to 2,999"
PERRYTON ISD,6,2046,12137,23527913,"1,600 to 2,999"
BOYS RANCH ISD,3,178,41572,8563886,Under 500
VEGA ISD,3,368,19852,5439278,Under 500
ADRIAN ISD,1,113,25705,2306313,Under 500
WILDORADO ISD,1,230,24730,3697960,Under 500
BRIDGE CITY ISD,4,3090,11372,29634990,"3,000 to 4,999"
ORANGEFIELD ISD,3,1843,11650,20070782,"1,600 to 2,999"
WEST ORANGE-COVE CISD,4,2555,17504,34055131,"1,600 to 2,999"
VIDOR ISD,6,4254,11969,49318201,"3,000 to 4,999"
LITTLE CYPRESS-MAURICEVILLE CISD,6,3223,12947,34802525,"3,000 to 4,999"
GORDON ISD,1,264,16617,3093831,Under 500
GRAFORD ISD,1,321,16947,4579989,Under 500
MINERAL WELLS ISD,4,3228,13910,38213340,"3,000 to 4,999"
SANTO ISD,2,496,14218,6356935,Under 500
STRAWN ISD,1,162,16740,2352778,Under 500
PALO PINTO ISD,1,84,23251,1665161,Under 500
PANOLA CHARTER SCHOOL,3,209,11326,2163349,Under 500
BECKVILLE ISD,2,686,12371,8262162,500 to 999
CARTHAGE ISD,5,2668,15222,32842163,"1,600 to 2,999"
GARY ISD,1,487,14459,6059497,Under 500
CROSSTIMBERS ACADEMY,1,149,13939,1672712,Under 500
POOLVILLE ISD,3,644,14571,7636944,500 to 999
SPRINGTOWN ISD,6,3883,12308,40855624,"3,000 to 4,999"
WEATHERFORD ISD,10,8005,13406,92084043,"5,000 to 9,999"
