DISTRICT NAME,TOTAL NUMBER OF SCHOOLS,TOTAL STUDENTS,Total OPERATING AND OTHER REVENUE PER PUPIL,Total OPERATING REVENUE (2020-21),DISTRICT SIZE
CAYUGA ISD,3,574,19814,10525571,500 to 999
ELKHART ISD,4,1150,13787,15623002,"1,000 to 1,599"
FRANKSTON ISD,3,808,13845,9815575,500 to 999
NECHES ISD,2,342,14925,4573108,Under 500
PALESTINE ISD,6,3360,17549,45806947,"3,000 to 4,999"
WESTWOOD ISD,4,1332,13538,18204035,"1,000 to 1,599"
SLOCUM ISD,2,361,14588,5164875,Under 500
ANDREWS ISD,6,4131,13569,44889510,"3,000 to 4,999"
PINEYWOODS COMMUNITY ACADEMY,4,995,11489,11036573,500 to 999
HUDSON ISD,5,2799,12268,32194381,"1,600 to 2,999"
LUFKIN ISD,17,7318,14825,95191197,"5,000 to 9,999"
HUNTINGTON ISD,5,1612,12981,19541698,"1,600 to 2,999"
DIBOLL ISD,6,1744,16346,22604825,"1,600 to 2,999"
ZAVALLA ISD,2,300,17601,4717700,Under 500
CENTRAL ISD,4,1451,12815,17719978,"1,000 to 1,599"
ARANSAS COUNTY ISD,4,3005,13337,38429961,"3,000 to 4,999"
ARCHER CITY ISD,2,506,16510,7059532,500 to 999
HOLLIDAY ISD,3,1126,12906,12388827,"1,000 to 1,599"
WINDTHORST ISD,3,530,13389,5633549,500 to 999
CLAUDE ISD,1,307,13914,4232228,Under 500
CHARLOTTE ISD,3,397,19196,7132400,Under 500
JOURDANTON ISD,7,1569,15108,20057316,"1,000 to 1,599"
LYTLE ISD,5,1740,12902,20841304,"1,600 to 2,999"
PLEASANTON ISD,6,3374,15213,46926064,"3,000 to 4,999"
POTEET ISD,4,1676,12784,18625232,"1,600 to 2,999"
BELLVILLE ISD,5,2191,13481,25799135,"1,600 to 2,999"
SEALY ISD,4,2814,12516,30655693,"1,600 to 2,999"
BRAZOS ISD,3,766,15723,11322955,500 to 999
MULESHOE ISD,4,1347,15147,19179772,"1,000 to 1,599"
MEDINA ISD,1,265,23733,5779760,Under 500
BANDERA ISD,4,2301,11995,24432441,"1,600 to 2,999"
BASTROP ISD,14,11947,12470,121266695,"10,000 to 24,999"
ELGIN ISD,8,4985,14067,56420871,"3,000 to 4,999"
SMITHVILLE ISD,4,1780,14639,22725386,"1,600 to 2,999"
MCDADE ISD,2,319,14838,4763595,Under 500
SEYMOUR ISD,3,618,14392,8427246,500 to 999
ST MARY'S ACADEMY CHARTER SCHOOL,1,401,13897,5433150,Under 500
BEEVILLE ISD,5,2996,12060,36596267,"1,600 to 2,999"
PAWNEE ISD,1,498,23851,6745064,Under 500
PETTUS ISD,2,377,20691,6108709,Under 500
SKIDMORE-TYNAN ISD,3,785,16689,12200278,500 to 999
RICHARD MILBURN ALTER HIGH SCHOOL - KILLEEN,9,1590,9428,17499287,"1,000 to 1,599"
PRIORITY CHARTER SCHOOLS,4,836,12575,10508434,500 to 999
ORENDA CHARTER SCHOOL,5,1900,10828,20010043,"1,600 to 2,999"
ACADEMY ISD,4,1749,11840,18471582,"1,600 to 2,999"
BARTLETT ISD,1,394,16606,6132531,Under 500
BELTON ISD,17,13298,12798,141917762,"10,000 to 24,999"
HOLLAND ISD,3,656,18652,11462359,500 to 999
KILLEEN ISD,53,43839,12271,509570529,"25,000 to 49,999"
ROGERS ISD,4,893,13138,10764439,500 to 999
SALADO ISD,4,2233,12656,21026817,"1,600 to 2,999"
TEMPLE ISD,17,8395,14320,104788890,"5,000 to 9,999"
TROY ISD,4,1636,13348,17835545,"1,600 to 2,999"
POR VIDA ACADEMY,2,124,39319,5347318,Under 500
GEORGE GERVIN ACADEMY,2,776,14464,12583565,500 to 999
NEW FRONTIERS PUBLIC SCHOOLS INC,1,149,14547,7055533,Under 500
LEGACY TRADITIONAL SCHOOLS - TEXAS,4,353,19158,6782038,Under 500
SOUTHWEST PREPARATORY SCHOOL,6,794,16324,13875022,500 to 999
INSPIRE ACADEMIES,6,636,23245,13365826,500 to 999
BEXAR COUNTY ACADEMY,1,261,13931,3817189,Under 500
POSITIVE SOLUTIONS CHARTER SCHOOL,1,93,14235,1693991,Under 500
HERITAGE ACADEMY,5,572,14617,7789738,500 to 999
JUBILEE ACADEMIES,13,5764,12526,77234031,"5,000 to 9,999"
LIGHTHOUSE PUBLIC SCHOOLS,3,408,12841,4147581,Under 500
SCHOOL OF SCIENCE AND TECHNOLOGY,7,3972,10871,35592167,"3,000 to 4,999"
HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,8,4459,12466,55261076,"3,000 to 4,999"
BROOKS ACADEMIES OF TEXAS,4,3141,12179,35542005,"3,000 to 4,999"
SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,6,5288,10572,50798204,"5,000 to 9,999"
HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,1,93,9855,1005238,Under 500
BASIS TEXAS,7,3421,10581,31616623,"3,000 to 4,999"
GREAT HEARTS TEXAS,11,8136,11088,73645220,"5,000 to 9,999"
ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,1,489,10143,4710760,Under 500
COMPASS ROSE PUBLIC SCHOOLS,5,1836,14390,16606636,"1,600 to 2,999"
PROMESA ACADEMY CHARTER SCHOOL,1,262,15061,2952039,Under 500
SAN ANTONIO PREPARATORY SCHOOLS,1,205,16312,3523306,Under 500
THE GATHERING PLACE,1,465,15531,5353947,Under 500
ROYAL PUBLIC SCHOOLS,1,111,,,Under 500
PRELUDE PREPARATORY CHARTER SCHOOL,1,30,,,Under 500
ALAMO HEIGHTS ISD,5,4788,14931,51851572,"3,000 to 4,999"
HARLANDALE ISD,28,12078,16810,148661551,"10,000 to 24,999"
EDGEWOOD ISD,24,8383,14966,126484234,"5,000 to 9,999"
RANDOLPH FIELD ISD,3,1458,15057,21697093,"1,000 to 1,599"
SAN ANTONIO ISD,100,44568,15554,596699395,"25,000 to 49,999"
SOUTH SAN ANTONIO ISD,20,7919,14402,94601623,"5,000 to 9,999"
SOMERSET ISD,8,3955,13423,50769926,"3,000 to 4,999"
NORTH EAST ISD,75,59445,12444,615009180,"50,000 and over"
EAST CENTRAL ISD,15,10002,11005,97046485,"10,000 to 24,999"
SOUTHWEST ISD,18,13165,13721,164151451,"10,000 to 24,999"
LACKLAND ISD,2,910,24557,21789487,500 to 999
FT SAM HOUSTON ISD,2,1635,20215,30271452,"1,600 to 2,999"
NORTHSIDE ISD,122,101584,11967,978493042,"50,000 and over"
JUDSON ISD,32,24517,11831,238299255,"10,000 to 24,999"
SOUTHSIDE ISD,9,5516,14893,75470008,"5,000 to 9,999"
JOHNSON CITY ISD,3,697,16768,8217131,500 to 999
BLANCO ISD,3,1058,16666,14431782,"1,000 to 1,599"
BORDEN COUNTY ISD,1,245,47394,7560891,Under 500
CLIFTON ISD,3,1024,15835,12646488,"1,000 to 1,599"
MERIDIAN ISD,2,392,18825,7330440,Under 500
MORGAN ISD,1,139,17833,2399702,Under 500
VALLEY MILLS ISD,3,618,14077,7719571,500 to 999
WALNUT SPRINGS ISD,1,178,16424,2746471,Under 500
IREDELL ISD,1,133,19405,2451523,Under 500
KOPPERL ISD,1,179,16090,2944487,Under 500
CRANFILLS GAP ISD,1,132,19058,2434764,Under 500
DEKALB ISD,3,783,17756,11303569,500 to 999
HOOKS ISD,3,886,16023,12459008,500 to 999
MAUD ISD,1,474,14365,6794864,Under 500
NEW BOSTON ISD,3,1196,17738,19694073,"1,000 to 1,599"
REDWATER ISD,4,1099,13026,13685079,"1,000 to 1,599"
TEXARKANA ISD,13,7126,12185,86926812,"5,000 to 9,999"
LIBERTY-EYLAU ISD,4,2131,19971,29066055,"1,600 to 2,999"
SIMMS ISD,3,473,17317,7584434,Under 500
MALTA ISD,1,208,12026,2561074,Under 500
RED LICK ISD,2,500,11699,5672871,500 to 999
PLEASANT GROVE ISD,4,2313,13386,23515184,"1,600 to 2,999"
HUBBARD ISD,1,69,21645,1663681,Under 500
LEARY ISD,1,105,18087,1862912,Under 500
ALVIN ISD,31,27955,14197,331435214,"25,000 to 49,999"
ANGLETON ISD,11,6748,14767,83996013,"5,000 to 9,999"
DANBURY ISD,3,772,15818,10449829,500 to 999
BRAZOSPORT ISD,20,11451,16310,143126025,"10,000 to 24,999"
SWEENY ISD,3,1851,16462,24211163,"1,600 to 2,999"
COLUMBIA-BRAZORIA ISD,5,2911,11714,30042276,"1,600 to 2,999"
PEARLAND ISD,22,20930,12423,205043257,"10,000 to 24,999"
DAMON ISD,1,116,27532,3138412,Under 500
BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,2,330,15059,4473005,Under 500
ARROW ACADEMY,4,609,14489,10012173,500 to 999
COLLEGE STATION ISD,20,14138,12399,139250581,"10,000 to 24,999"
BRYAN ISD,25,16005,14613,185164571,"10,000 to 24,999"
TERLINGUA CSD,1,111,23434,2289290,Under 500
ALPINE ISD,3,970,15828,13422326,500 to 999
MARATHON ISD,1,57,29382,1742340,Under 500
SAN VICENTE ISD,1,9,214078,1067388,Under 500
SILVERTON ISD,1,187,25161,2858937,Under 500
BROOKS COUNTY ISD,5,1340,19583,24878614,"1,000 to 1,599"
BANGS ISD,3,869,13199,10255655,500 to 999
BROWNWOOD ISD,7,3448,12116,39268976,"3,000 to 4,999"
BLANKET ISD,1,147,17919,2460132,Under 500
MAY ISD,2,227,17757,3968726,Under 500
ZEPHYR ISD,1,212,15823,2889644,Under 500
BROOKESMITH ISD,5,191,18500,2831158,Under 500
EARLY ISD,4,1136,14539,15040118,"1,000 to 1,599"
CALDWELL ISD,4,1833,15697,23513656,"1,600 to 2,999"
SOMERVILLE ISD,3,541,17796,8095915,500 to 999
SNOOK ISD,2,529,20558,7467840,500 to 999
BURNET CISD,6,3262,14488,38593389,"3,000 to 4,999"
MARBLE FALLS ISD,7,3995,13899,46635331,"3,000 to 4,999"
LOCKHART ISD,9,6117,12526,70332671,"5,000 to 9,999"
LULING ISD,3,1425,12523,15805617,"1,000 to 1,599"
PRAIRIE LEA ISD,1,235,14400,3132561,Under 500
CALHOUN COUNTY ISD,7,3561,14538,43254650,"3,000 to 4,999"
CROSS PLAINS ISD,2,378,15363,5449840,Under 500
CLYDE CISD,4,1431,12772,15889189,"1,000 to 1,599"
BAIRD ISD,2,293,19059,4854115,Under 500
EULA ISD,3,462,15423,6421665,Under 500
BROWNSVILLE ISD,52,38412,13555,535407429,"25,000 to 49,999"
HARLINGEN CISD,29,17022,13001,219241115,"10,000 to 24,999"
LA FERIA ISD,7,2908,13397,38860793,"1,600 to 2,999"
LOS FRESNOS CISD,15,10333,13381,131221115,"10,000 to 24,999"
POINT ISABEL ISD,5,1968,14455,28182347,"1,600 to 2,999"
RIO HONDO ISD,4,1602,15288,22525701,"1,600 to 2,999"
SAN BENITO CISD,21,9201,15637,143189241,"5,000 to 9,999"
SANTA MARIA ISD,4,543,19454,10931146,500 to 999
SANTA ROSA ISD,3,848,19631,16293234,500 to 999
SOUTH TEXAS ISD,6,4251,17957,74883483,"3,000 to 4,999"
PITTSBURG ISD,5,2352,12084,26381677,"1,600 to 2,999"
GROOM ISD,1,143,27397,2697223,Under 500
PANHANDLE ISD,3,663,16097,8163622,500 to 999
WHITE DEER ISD,2,339,15625,4947977,Under 500
ATLANTA ISD,4,1906,14613,25974800,"1,600 to 2,999"
AVINGER ISD,1,137,17820,2488025,Under 500
HUGHES SPRINGS ISD,3,1146,12740,14216537,"1,000 to 1,599"
LINDEN-KILDARE CISD,3,638,14543,8923153,500 to 999
MCLEOD ISD,3,399,12477,4928273,Under 500
QUEEN CITY ISD,3,933,20326,13361150,500 to 999
BLOOMBURG ISD,1,240,14265,3450505,Under 500
DIMMITT ISD,3,1153,15129,15127988,"1,000 to 1,599"
HART ISD,1,209,18569,3738989,Under 500
NAZARETH ISD,1,250,15382,3707802,Under 500
ANAHUAC ISD,3,1389,14977,17125936,"1,000 to 1,599"
BARBERS HILL ISD,9,6796,22371,105772748,"5,000 to 9,999"
EAST CHAMBERS ISD,4,1540,16142,19986753,"1,000 to 1,599"
ALTO ISD,3,556,18466,9607158,500 to 999
JACKSONVILLE ISD,8,4735,14484,58224821,"3,000 to 4,999"
RUSK ISD,5,2001,12642,23823882,"1,600 to 2,999"
NEW SUMMERFIELD ISD,1,538,17221,8534578,500 to 999
WELLS ISD,1,258,16267,3999396,Under 500
CHILDRESS ISD,3,1013,14566,14383701,"1,000 to 1,599"
HENRIETTA ISD,3,942,15073,12468878,500 to 999
PETROLIA CISD,2,461,15705,6481869,Under 500
BELLEVUE ISD,1,151,20822,2338590,Under 500
MIDWAY ISD,1,131,24120,2565490,Under 500
MORTON ISD,1,360,15777,5786616,Under 500
WHITEFACE CISD,1,313,22534,5540123,Under 500
BRONTE ISD,1,238,14601,3504133,Under 500
ROBERT LEE ISD,6,262,18934,3640025,Under 500
COLEMAN ISD,3,800,15411,12854962,500 to 999
SANTA ANNA ISD,2,253,16857,4353226,Under 500
PANTHER CREEK CISD,1,165,19380,2881372,Under 500
IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,1,1386,9227,13231420,"1,000 to 1,599"
LONE STAR LANGUAGE ACADEMY,1,146,9467,1950102,Under 500
ALLEN ISD,24,21420,12828,211051998,"10,000 to 24,999"
ANNA ISD,8,4436,13504,44895818,"3,000 to 4,999"
CELINA ISD,5,3351,14098,32386605,"3,000 to 4,999"
FARMERSVILLE ISD,4,2018,14382,22806985,"1,600 to 2,999"
FRISCO ISD,72,65617,12096,623237843,"50,000 and over"
MCKINNEY ISD,32,23238,13875,249508023,"10,000 to 24,999"
MELISSA ISD,6,4859,12635,42368669,"3,000 to 4,999"
PLANO ISD,74,49241,13519,516624113,"25,000 to 49,999"
PRINCETON ISD,10,6765,12371,61296683,"5,000 to 9,999"
PROSPER ISD,21,21700,13303,198137631,"10,000 to 24,999"
WYLIE ISD,21,18155,12031,174305937,"10,000 to 24,999"
BLUE RIDGE ISD,3,958,15968,12423433,500 to 999
COMMUNITY ISD,6,3335,13216,30187080,"3,000 to 4,999"
LOVEJOY ISD,5,4335,13972,43678368,"3,000 to 4,999"
WELLINGTON ISD,3,542,14606,7906525,500 to 999
COLUMBUS ISD,4,1555,12840,18052389,"1,000 to 1,599"
RICE CISD,7,1272,13966,15922647,"1,000 to 1,599"
WEIMAR ISD,3,684,15258,9102615,500 to 999
TRINITY CHARTER SCHOOL,12,347,21293,8487090,Under 500
NEW BRAUNFELS ISD,15,9638,12259,90178612,"5,000 to 9,999"
COMAL ISD,35,27190,12295,242633607,"25,000 to 49,999"
COMANCHE ISD,4,1303,14399,18059092,"1,000 to 1,599"
DE LEON ISD,3,740,16693,11734285,500 to 999
GUSTINE ISD,1,145,33706,2838210,Under 500
SIDNEY ISD,1,128,16793,2232465,Under 500
EDEN CISD,3,222,24238,4450774,Under 500
PAINT ROCK ISD,5,225,20716,4308884,Under 500
GAINESVILLE ISD,5,3138,12719,37247704,"3,000 to 4,999"
MUENSTER ISD,2,523,15604,6289689,500 to 999
VALLEY VIEW ISD,3,941,17441,13898422,500 to 999
CALLISBURG ISD,4,1140,12761,13094188,"1,000 to 1,599"
ERA ISD,1,493,15723,6984135,Under 500
LINDSAY ISD,2,482,12270,5937098,Under 500
WALNUT BEND ISD,1,56,22566,1294925,Under 500
SIVELLS BEND ISD,1,63,28039,1336336,Under 500
EVANT ISD,2,213,14340,3882796,Under 500
GATESVILLE ISD,5,2689,11806,30661252,"1,600 to 2,999"
OGLESBY ISD,1,198,15069,2767681,Under 500
JONESBORO ISD,1,338,14718,4501233,Under 500
COPPERAS COVE ISD,11,8102,12007,94736537,"5,000 to 9,999"
PADUCAH ISD,1,161,17142,3088113,Under 500
CRANE ISD,3,1151,14082,13863004,"1,000 to 1,599"
CROCKETT COUNTY CONSOLIDATED CSD,3,729,26161,13852757,500 to 999
CROSBYTON CISD,3,329,24135,6924159,Under 500
LORENZO ISD,1,237,21417,4808889,Under 500
RALLS ISD,4,484,15201,7017199,Under 500
CULBERSON COUNTY-ALLAMOORE ISD,1,360,65613,9985451,Under 500
DALHART ISD,4,1717,11909,18289277,"1,600 to 2,999"
TEXLINE ISD,1,213,15969,3007187,Under 500
PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES,1,486,13736,6950630,Under 500
UPLIFT EDUCATION,43,22183,11848,254959729,"10,000 to 24,999"
TEXANS CAN ACADEMIES,13,5037,14095,65949992,"5,000 to 9,999"
LUMIN EDUCATION,1,250,15001,3803298,Under 500
ADVANTAGE ACADEMY,1,1138,13594,16368502,"1,000 to 1,599"
LIFE SCHOOL,8,5558,12136,67319664,"5,000 to 9,999"
UNIVERSAL ACADEMY,2,2055,10982,26323154,"1,600 to 2,999"
NOVA ACADEMY,1,124,9245,1127936,Under 500
ACADEMY OF DALLAS,1,245,12479,4255262,Under 500
TRINITY BASIN PREPARATORY,3,4211,13076,54775369,"3,000 to 4,999"
ACADEMY FOR ACADEMIC EXCELLENCE,4,297,40328,8473791,Under 500
A W BROWN LEADERSHIP ACADEMY,2,1067,11957,16408169,"1,000 to 1,599"
JEAN MASSIEU ACADEMY,1,202,12996,2534203,Under 500
NOVA ACADEMY SOUTHEAST,2,535,10697,6557048,500 to 999
WINFREE ACADEMY CHARTER SCHOOLS,6,1068,8923,11385155,"1,000 to 1,599"
A+ ACADEMY,2,1551,11967,17412243,"1,000 to 1,599"
INSPIRED VISION ACADEMY,2,1271,11939,15401720,"1,000 to 1,599"
GATEWAY CHARTER ACADEMY,2,654,11946,9354044,500 to 999
EDUCATION CENTER INTERNATIONAL ACADEMY,3,501,13483,7321427,500 to 999
EVOLUTION ACADEMY CHARTER SCHOOL,3,669,12607,8383662,500 to 999
GOLDEN RULE CHARTER SCHOOL,6,1557,12415,19292224,"1,000 to 1,599"
ST ANTHONY SCHOOL,2,316,11102,3581767,Under 500
LA ACADEMIA DE ESTRELLAS,2,985,12081,12286807,500 to 999
RICHLAND COLLEGIATE HIGH SCHOOL,1,336,9623,4792144,Under 500
CITYSCAPE SCHOOLS,2,1256,13548,16269783,"1,000 to 1,599"
MANARA ACADEMY,3,541,11099,7313954,500 to 999
UME PREPARATORY ACADEMY,3,1365,10295,13074631,"1,000 to 1,599"
LEGACY PREPARATORY,2,1464,12699,19212916,"1,000 to 1,599"
VILLAGE TECH SCHOOLS,1,1232,10000,12030130,"1,000 to 1,599"
INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),33,20535,11470,239112720,"10,000 to 24,999"
PIONEER TECHNOLOGY & ARTS ACADEMY,6,2226,11997,20503410,"1,600 to 2,999"
BRIDGEWAY PREPARATORY ACADEMY,1,96,12820,1294774,Under 500
CARROLLTON-FARMERS BRANCH ISD,39,24888,14322,304242050,"10,000 to 24,999"
CEDAR HILL ISD,12,7112,12232,74309701,"5,000 to 9,999"
DALLAS ISD,237,143430,15120,1825032689,"50,000 and over"
DESOTO ISD,10,7339,14485,97323562,"5,000 to 9,999"
DUNCANVILLE ISD,18,11944,13146,132210456,"10,000 to 24,999"
GARLAND ISD,70,52960,11655,557255726,"50,000 and over"
GRAND PRAIRIE ISD,39,27284,13372,327157457,"25,000 to 49,999"
HIGHLAND PARK ISD,8,6666,15716,71371199,"5,000 to 9,999"
IRVING ISD,37,32339,12745,374179017,"25,000 to 49,999"
LANCASTER ISD,9,6978,13738,81507010,"5,000 to 9,999"
MESQUITE ISD,50,38311,12271,398229893,"25,000 to 49,999"
RICHARDSON ISD,55,37358,13347,412027687,"25,000 to 49,999"
SUNNYVALE ISD,4,2104,13601,20862744,"1,600 to 2,999"
COPPELL ISD,16,13107,12477,126508554,"10,000 to 24,999"
DAWSON ISD,1,149,16822,2480748,Under 500
KLONDIKE ISD,1,259,31361,6797562,Under 500
LAMESA ISD,1,1602,18810,28415354,"1,600 to 2,999"
SANDS CISD,1,246,44161,8975189,Under 500
HEREFORD ISD,8,3953,12114,44738433,"3,000 to 4,999"
WALCOTT ISD,1,152,17222,2278402,Under 500
COOPER ISD,3,847,15197,11506078,500 to 999
FANNINDEL ISD,2,148,19631,2979594,Under 500
NORTH TEXAS COLLEGIATE ACADEMY,3,695,11969,7576086,500 to 999
LEADERSHIP PREP SCHOOL,2,1344,9094,12249775,"1,000 to 1,599"
TRIVIUM ACADEMY,1,553,9643,5766545,500 to 999
DENTON ISD,43,31771,15804,330517992,"25,000 to 49,999"
LEWISVILLE ISD,62,49113,13689,504744456,"25,000 to 49,999"
PILOT POINT ISD,4,1430,13499,16441344,"1,000 to 1,599"
KRUM ISD,6,2217,12186,22510666,"1,600 to 2,999"
PONDER ISD,3,1574,13029,16879860,"1,000 to 1,599"
AUBREY ISD,5,3101,13215,28199608,"3,000 to 4,999"
SANGER ISD,7,2746,15478,36738015,"1,600 to 2,999"
ARGYLE ISD,5,4314,15358,39444925,"3,000 to 4,999"
NORTHWEST ISD,32,27479,13388,244585680,"25,000 to 49,999"
LAKE DALLAS ISD,5,3999,13743,41839077,"3,000 to 4,999"
LITTLE ELM ISD,9,8245,14247,87542297,"5,000 to 9,999"
CUERO ISD,4,1920,16934,25929715,"1,600 to 2,999"
NORDHEIM ISD,1,148,19112,2718454,Under 500
YOAKUM ISD,5,1496,21644,24979719,"1,000 to 1,599"
YORKTOWN ISD,3,535,16368,8133274,500 to 999
WESTHOFF ISD,1,71,25550,1587121,Under 500
MEYERSVILLE ISD,1,144,13158,2157745,Under 500
SPUR ISD,1,221,16427,3337051,Under 500
PATTON SPRINGS ISD,1,86,29806,2492998,Under 500
CARRIZO SPRINGS CISD,4,1920,14166,26141480,"1,600 to 2,999"
CLARENDON ISD,3,456,14665,6341487,Under 500
HEDLEY ISD,1,124,21026,2349440,Under 500
RAMIREZ CSD,1,26,22447,963674,Under 500
BENAVIDES ISD,2,233,26152,5904966,Under 500
SAN DIEGO ISD,3,1453,14253,18764791,"1,000 to 1,599"
FREER ISD,3,760,23054,15506280,500 to 999
CISCO ISD,4,812,14508,12093376,500 to 999
EASTLAND ISD,3,1078,13680,13723448,"1,000 to 1,599"
GORMAN ISD,3,265,22597,5840202,Under 500
RANGER ISD,3,333,15618,5419204,Under 500
RISING STAR ISD,2,191,14567,2702181,Under 500
COMPASS ACADEMY CHARTER SCHOOL,1,1371,9308,12305728,"1,000 to 1,599"
UTPB STEM ACADEMY,1,763,9587,7592657,500 to 999
ECTOR COUNTY ISD,44,31762,12896,392643356,"25,000 to 49,999"
ROCKSPRINGS ISD,1,257,22479,5613730,Under 500
NUECES CANYON CISD,2,254,16804,4335550,Under 500
WAXAHACHIE FAITH FAMILY ACADEMY,2,2582,13572,36387219,"1,600 to 2,999"
AVALON ISD,1,339,14726,4801554,Under 500
ENNIS ISD,10,5999,12925,63692088,"5,000 to 9,999"
FERRIS ISD,5,2625,13422,30520547,"1,600 to 2,999"
ITALY ISD,2,647,17714,10128429,500 to 999
MIDLOTHIAN ISD,13,10391,13704,105969875,"10,000 to 24,999"
MILFORD ISD,1,238,15212,3676504,Under 500
PALMER ISD,3,1252,13910,15955670,"1,000 to 1,599"
RED OAK ISD,7,6287,12147,64181373,"5,000 to 9,999"
WAXAHACHIE ISD,17,10065,13161,102410900,"10,000 to 24,999"
MAYPEARL ISD,4,1176,12828,12978757,"1,000 to 1,599"
BURNHAM WOOD CHARTER SCHOOL DISTRICT,3,1376,11453,14338594,"1,000 to 1,599"
TRIUMPH PUBLIC HIGH SCHOOLS-EL PASO,2,198,14469,2517543,Under 500
EL PASO ACADEMY,2,272,9963,3208182,Under 500
HARMONY PUBLIC SCHOOLS - WEST TEXAS,6,4569,11778,48791707,"3,000 to 4,999"
LA FE PREPARATORY SCHOOL,1,190,14767,2657990,Under 500
VISTA DEL FUTURO CHARTER SCHOOL,1,340,12240,3047698,Under 500
EL PASO LEADERSHIP ACADEMY,3,266,20033,4206999,Under 500
CLINT ISD,14,10455,14752,145042692,"10,000 to 24,999"
EL PASO ISD,79,50709,13798,607219620,"50,000 and over"
FABENS ISD,4,1983,15336,29190277,"1,600 to 2,999"
SAN ELIZARIO ISD,6,3190,14579,42416777,"3,000 to 4,999"
YSLETA ISD,54,37211,13015,457387152,"25,000 to 49,999"
ANTHONY ISD,3,798,13838,10333783,500 to 999
CANUTILLO ISD,10,6076,17214,71277128,"5,000 to 9,999"
TORNILLO ISD,4,887,16353,13673027,500 to 999
SOCORRO ISD,50,47137,11841,483698575,"25,000 to 49,999"
PREMIER HIGH SCHOOLS,40,6822,10538,66671657,"5,000 to 9,999"
ERATH EXCELS ACADEMY INC,2,94,11628,1416107,Under 500
THREE WAY ISD,1,236,13382,2845271,Under 500
DUBLIN ISD,3,1087,14767,14988069,"1,000 to 1,599"
STEPHENVILLE ISD,6,3688,12951,40909681,"3,000 to 4,999"
BLUFF DALE ISD,1,227,15305,3030233,Under 500
HUCKABAY ISD,1,304,14589,3245494,Under 500
LINGLEVILLE ISD,1,284,15385,3775506,Under 500
MORGAN MILL ISD,1,118,12607,1621872,Under 500
CHILTON ISD,1,546,16540,7976443,500 to 999
MARLIN ISD,3,882,19249,16778551,500 to 999
WESTPHALIA ISD,1,155,14312,2270607,Under 500
ROSEBUD-LOTT ISD,3,716,14476,9212421,500 to 999
BONHAM ISD,5,1885,16998,25180624,"1,600 to 2,999"
DODD CITY ISD,1,328,13869,4340224,Under 500
ECTOR ISD,2,234,17199,4234072,Under 500
HONEY GROVE ISD,3,640,16344,9071499,500 to 999
LEONARD ISD,4,825,13038,10796206,500 to 999
SAVOY ISD,2,303,16231,4679850,Under 500
TRENTON ISD,3,725,13942,9503768,500 to 999
SAM RAYBURN ISD,2,517,13476,6736326,500 to 999
FLATONIA ISD,3,629,16194,8838334,500 to 999
LA GRANGE ISD,3,1868,14169,23659590,"1,600 to 2,999"
SCHULENBURG ISD,2,696,16100,10017032,500 to 999
FAYETTEVILLE ISD,1,279,16717,3764057,Under 500
ROUND TOP-CARMINE ISD,2,240,16385,3555298,Under 500
ROBY CISD,1,329,20873,6495280,Under 500
ROTAN ISD,1,242,17905,3914695,Under 500
FLOYDADA COLLEGIATE ISD,4,686,22576,11437145,500 to 999
LOCKNEY ISD,4,430,18019,7547988,Under 500
CROWELL ISD,1,192,40093,8081586,Under 500
LAMAR CISD,44,38877,11952,368291151,"25,000 to 49,999"
NEEDVILLE ISD,4,3378,12774,37264922,"3,000 to 4,999"
FORT BEND ISD,82,76543,11697,763625793,"50,000 and over"
STAFFORD MSD,5,3511,14218,39986176,"3,000 to 4,999"
MOUNT VERNON ISD,3,1523,13695,17511988,"1,000 to 1,599"
FAIRFIELD ISD,4,1681,14225,22041531,"1,600 to 2,999"
TEAGUE ISD,4,1181,14813,14654489,"1,000 to 1,599"
WORTHAM ISD,3,520,14123,6483191,500 to 999
DEW ISD,1,133,20291,3169298,Under 500
DILLEY ISD,3,907,21312,13410688,500 to 999
PEARSALL ISD,5,2031,20162,32069859,"1,600 to 2,999"
SEAGRAVES ISD,1,516,18282,8201409,500 to 999
LOOP ISD,1,150,24569,3039394,Under 500
SEMINOLE ISD,6,2957,18757,45285914,"1,600 to 2,999"
ODYSSEY ACADEMY INC,2,1492,12790,17744939,"1,000 to 1,599"
AMBASSADORS PREPARATORY ACADEMY,1,189,12801,3149086,Under 500
DICKINSON ISD,17,11901,12747,123703622,"10,000 to 24,999"
GALVESTON ISD,13,6650,14964,91958879,"5,000 to 9,999"
HIGH ISLAND ISD,1,158,19015,2989164,Under 500
TEXAS CITY ISD,15,7756,18671,124832436,"5,000 to 9,999"
HITCHCOCK ISD,5,1715,17482,26794427,"1,600 to 2,999"
SANTA FE ISD,6,4325,15452,55824336,"3,000 to 4,999"
CLEAR CREEK ISD,46,40235,11944,382364074,"25,000 to 49,999"
